,amount,meal,name,notes,unit
240,1.5,French Bistro Salad,lemon juice,,tbsp
241,5,French Bistro Salad,extra virgin olive oil,,tbsp
242,1/2,French Bistro Salad,each salt and pepper,,tsp
243,5,Tomato Salad with Olive Tapenade (very French!),tomatoes,"medium sized, sliced into 1cm/ 0.2"" thick rounds",
244,1/4,Tomato Salad with Olive Tapenade (very French!),salt,,tsp
245,1/2,Tomato Salad with Olive Tapenade (very French!),flat leaf parsley leaves,left whole or roughly torn,cup
246,,Tomato Salad with Olive Tapenade (very French!),Extra olive oil,for drizzling,
247,1,Tomato Salad with Olive Tapenade (very French!),kalamata or other black deli olives,preferably unpitted (Note 1),cup
248,2,Tomato Salad with Olive Tapenade (very French!),capers,"drained or rinsed (if packed in salt), chopped",tsp
249,1,Tomato Salad with Olive Tapenade (very French!),garlic clove,"medium, minced",
250,1,Tomato Salad with Olive Tapenade (very French!),large or 2 small anchovy fillets,"(Note 2), minced",
251,1/4,Tomato Salad with Olive Tapenade (very French!),red or white wine vinegar,,tsp
252,4  – 5,Tomato Salad with Olive Tapenade (very French!),extra virgin olive oil,use your best stuff!,tbsp
253,3,"Hollandaise Sauce (Quick, easy, foolproof)",egg yolks,"from large eggs (55-60g / 2 oz each, Note 1)",
254,1/4,"Hollandaise Sauce (Quick, easy, foolproof)",cayenne pepper,or white pepper,tsp
255,1/4,"Hollandaise Sauce (Quick, easy, foolproof)",salt,(or,tsp
256,1 1/2,"Hollandaise Sauce (Quick, easy, foolproof)",lemon juice,plus more to taste,tbsp
257,1 1/2,"Hollandaise Sauce (Quick, easy, foolproof)",water,,tbsp
258,175 g/ 1 1/2 sticks,"Hollandaise Sauce (Quick, easy, foolproof)",unsalted butter,"cut into 1.5 cm / 1/2"" cubes (Note 2)",
259,1 cup (250ml) ,Gougeres - French Cheese Puffs (finger food!),water,,
260,80g / 5.5 tbsp,Gougeres - French Cheese Puffs (finger food!),butter,"unsalted, cut into 1.5 cm / 0.5"" cubes",
261,1 cup (150g) ,Gougeres - French Cheese Puffs (finger food!),flour,plain / all purpose,
262,3/4,Gougeres - French Cheese Puffs (finger food!),salt,kosher/cooking salt,tsp
263,,Gougeres - French Cheese Puffs (finger food!),nutmeg,(powder or freshly grated),Pinch
264,,Gougeres - French Cheese Puffs (finger food!),black pepper,,Pinch
265,4,Gougeres - French Cheese Puffs (finger food!),eggs,(~60 - 65g / 2oz each),
266,200g / 2 cups,Gougeres - French Cheese Puffs (finger food!),Gruyère cheese,freshly shredded (Note 1),
267,50g / 1/2 cup,Gougeres - French Cheese Puffs (finger food!),"Gruyere cheese, extra",freshly shredded (Note 1),
268,1,Gougeres - French Cheese Puffs (finger food!),egg yolk,for brushing,
269,2,Kir Royale (French champagne cocktail),Creme de cassis,"(blackcurrent liquor, Note 1)",tsp
270,185ml/ 3/4 cup ,Kir Royale (French champagne cocktail),champagne or sparkling wine,(Note 2),
271,100 g / 3.5oz ,French Onion Soup,unsalted butter,,
272,1.25 kg / 2.5 lb,French Onion Soup,brown / yellow onions,"peeled, halved, thinly sliced top to bottom (Note 1)",
273,3/4 cup (185ml),French Onion Soup,dry white wine,optional (Note 2),
274,2 tbsp,French Onion Soup,flour,plain / all purpose,
275,1.5 litres / 6 cups / 1.5 quarts ,French Onion Soup,good quality beef broth./stock OR chicken,low sodium/salt reduced (Note 3),
276,2,French Onion Soup,dried bay leaves,(or 3 fresh) (optional),
277,3,French Onion Soup,sprigs fresh thyme,(optional),
278,,French Onion Soup,Salt and pepper,,
279,6,French Onion Soup,slices French baguette,or other softish bread (Note 4),- 8
280,100 g / 3.5 oz ,French Onion Soup,gruyere,"or mozzarella cheese, or other melting cheese of choice",
281,,French Onion Soup,Fresh parsley or thyme leaves,for garnish (optional),
282,1,Quiche Lorraine,homemade quiche crust,(shortcrust pastry),
283,2,Quiche Lorraine,sheets shortcrust,thawed,
284,1,Quiche Lorraine,prepared pie shell,fridge or frozen,
285,1 tbsp / 15g,Quiche Lorraine,butter,,
286,1,Quiche Lorraine,garlic clove,minced,
287,1/2,Quiche Lorraine,"onion, finely chopped",(~1/2 cup),
288,200 g / 6.5 oz ,Quiche Lorraine,"bacon, cut into small strips (1.5 x 0.5cm / 2/3"" x 1/5"")",,
289,4,Quiche Lorraine,eggs (~55- 65g / 2 oz each),,
290,1 1/4 cups (300ml),Quiche Lorraine,heavy cream (thickened cream) (Note 1),,
291,,Quiche Lorraine,of salt & pepper,,Pinch
292,1 1/4 cups (125g),Quiche Lorraine,"grated gruyere cheese (or tasty, cheddar, monterey jack)",,
293,50g / 2 oz,Quiche Lorraine,"bacon, chopped and cooked until golden",,
294,60 g / 4 tbsp ,Killer Lemon Butter Sauce for Fish,unsalted butter,cut into pieces,
295,1,Killer Lemon Butter Sauce for Fish,fresh lemon juice,,tbsp
296,,Killer Lemon Butter Sauce for Fish,Salt and finely ground pepper,,
297,2 x ,Killer Lemon Butter Sauce for Fish,"thin white fish fillets  (120-150g / 4-5oz each), skinless boneless (I used Bream, Note 1)",,
298,,Killer Lemon Butter Sauce for Fish,Salt and pepper,,
299,2,Killer Lemon Butter Sauce for Fish,white flour,,tbsp
300,2,Killer Lemon Butter Sauce for Fish,oil,(I use canola),tbsp
301,,Killer Lemon Butter Sauce for Fish,Lemon wedges,,
302,,Killer Lemon Butter Sauce for Fish,"Finely chopped parsley, optional",,
303,1/4,French Salad Dressing (French Vinaigrette),eschalots / French shallots,finely chopped (Note 1),cup
304,1/4,French Salad Dressing (French Vinaigrette),red or white wine vinegar,(or sherry or champagne vinegar),cup
305,4,French Salad Dressing (French Vinaigrette),Dijon Mustard,,tsp
306,1/2,French Salad Dressing (French Vinaigrette),extra virgin olive oil,(or more if you want richer),cup
307,1/2,French Salad Dressing (French Vinaigrette),salt,,tsp
308,,French Salad Dressing (French Vinaigrette),Black pepper,,
309,1,French Salad Dressing (French Vinaigrette),eschalots / French shallots,finely chopped (Note 1),tbsp
310,1,French Salad Dressing (French Vinaigrette),red or white wine vinegar,(or sherry or champagne vinegar),tbsp
311,1,French Salad Dressing (French Vinaigrette),Dijon Mustard,,tsp
312,2,French Salad Dressing (French Vinaigrette),olive oil,(I use 5 tbsp),tbsp
313,,French Salad Dressing (French Vinaigrette),Salt and pepper,,
314,1 cup / 150 g ,Nutella Crepes with Strawberries,plain flour,(all purpose flour),
315,1 1/2 cups / 375 ml ,Nutella Crepes with Strawberries,milk,(I use low fat),
316,2,Nutella Crepes with Strawberries,eggs,,
317,3 tbsp / 40 g ,Nutella Crepes with Strawberries,unsalted butter,,
318,1,Nutella Crepes with Strawberries,vanilla extract,,tsp
319,2,Nutella Crepes with Strawberries,white sugar,"(optional, I find the Nutella makes it sweet enough)",tbsp
320,,Nutella Crepes with Strawberries,of salt,,Pinch
321,2,Nutella Crepes with Strawberries,unsalted butter,,tsp
322,,Nutella Crepes with Strawberries,Nutella,(homemade or store bought),
323,,Nutella Crepes with Strawberries,Strawberries,sliced,
324,,Nutella Crepes with Strawberries,Icing sugar / confectionary sugar,for dusting,
325,7 oz / 200 g ,Seafood Gratin Pasta Bake,macaroni or other pasta of choice,,
326,1 1/2,Seafood Gratin Pasta Bake,olive oil,separated,tbsp
