,amount,meal,name,notes,unit
52,1,Char Siu Pork (Chinese BBQ Pork),soy sauce,just all purpose (or more light soy) (Note 1),tbsp
53,1,Char Siu Pork (Chinese BBQ Pork),Chinese five spice powder,(Note 2),tsp
54,1,Char Siu Pork (Chinese BBQ Pork),oil,(vegetable or canola) (Note 3),tbsp
55,2,Char Siu Pork (Chinese BBQ Pork),red food colouring,optional (Note 4),tsp
56,1.2 – 1.5kg / 2.4 – 3lb,Char Siu Pork (Chinese BBQ Pork),"pork scotch fillet (aka collar neck, pork neck) OR pork shoulder",(Note 5),
57,2,Char Siu Pork (Chinese BBQ Pork),Extra Honey,,tbsp
58,3,General Tso's Chicken,soy sauce - light or all-purpose,"(NOT dark soy, Note 1)",tbsp
59,1,General Tso's Chicken,hoisin sauce,,tbsp
60,1,General Tso's Chicken,rice vinegar,(sub white wine vinegar),tbsp
61,2,General Tso's Chicken,chilli paste,any (Sambal Oelak is great),tsp
62,1,General Tso's Chicken,sesame oil,toasted preferably (Note 6),tsp
63,3,General Tso's Chicken,brown sugar,,tbsp
64,1,General Tso's Chicken,cornflour/cornstarch,,tbsp
65,3/4,General Tso's Chicken,chicken stock/broth,low sodium,cup
66,600g/ 1.4 lb,General Tso's Chicken,chicken thighs,"boneless skinless, cut into 2.5cm / 1"" pieces (breast / tenderloin - Note 2)",
67,1,General Tso's Chicken,ginger,finely grated,tsp
68,1,General Tso's Chicken,garlic,finely grated,tsp
69,1,General Tso's Chicken,cornflour/cornstarch,(Note 5),cup
70,1 - 4 cups,General Tso's Chicken,"oil, for frying","(peanut, vegetable or canola; Note 4)",
71,2,General Tso's Chicken,oil,"(peanut, vegetable or canola)",tbsp
72,2,General Tso's Chicken,ginger,finely chopped (Note 3),tsp
73,2,General Tso's Chicken,garlic,finely chopped (Note 3),cloves
74,1/2,General Tso's Chicken,red chilli flakes,(red pepper flakes),teaspoon
75,,General Tso's Chicken,Finely sliced green onion,,
76,,General Tso's Chicken,Sesame seeds,,
77,1 litre / 32 oz,Chinese Rice Soup - quick and easy,"chicken stock/broth, low sodium",(Note 1),
78,1,Chinese Rice Soup - quick and easy,water,,cup
79,2,Chinese Rice Soup - quick and easy,garlic cloves,smashed (Note 2),
80,"1.5 cm / 1/2""",Chinese Rice Soup - quick and easy,"ginger piece, ",cut into 3 slices,
81,1 1/2,Chinese Rice Soup - quick and easy,light soy sauce,or normal all purpose soy sauce (Note 3),tbsp
82,1 1/2,Chinese Rice Soup - quick and easy,Chinese cooking wine,key ingredient (Note 4 subs),tbsp
83,1/4 - 1/2,Chinese Rice Soup - quick and easy,sesame oil,toasted (optional) (Note 5),tsp
84,1/4,Chinese Rice Soup - quick and easy,white pepper,"(sub black, can omit)",tsp
85,3/4 cup,Chinese Rice Soup - quick and easy,uncooked white rice,"- long grain, medium grain, short grain, jasmine (Note 6)",
86,3,Chinese Rice Soup - quick and easy,choy sum ,"cut into 2cm / 1"" lengths, stems separated from leaves (Note 8)",stems
87,250g / 8 oz,Chinese Rice Soup - quick and easy,white fish fillets,"cut into 2.5cm / 1"" cubes (Note 8)",
88,1,Chinese Rice Soup - quick and easy,green onion,finely sliced,
89,,Chinese Rice Soup - quick and easy,Crispy fried shallots,(Note 9),
90,,Chinese Rice Soup - quick and easy,Crunchy fried noodles,pictured in post (Note 9),
91,,Chinese Rice Soup - quick and easy,Chilli oil or paste,,
92,350g / 12 oz,Mongolian Lamb,"lamb meat (backstrap/fillet, mid loin chops,  shoulder - or any cut in Note 1)","thinly sliced 2 - 3 mm / 1/10"" (boneless weight, fat trimmed)",
93,1/2,Mongolian Lamb,baking soda,"(bicarb soda) (tenderiser, Note 2)",tsp
94,1,Mongolian Lamb,cornflour / cornstarch,,tsp
95,1,Mongolian Lamb,light soy sauce,"(or all purpose, Note 3)",tbsp
96,1,Mongolian Lamb,Chinese cooking wine,(Note 4 subs),tbsp
97,3,Mongolian Lamb,cornflour / cornstarch,,tsp
98,2,Mongolian Lamb,dark soy sauce,(Note 3),tsp
99,1,Mongolian Lamb,light soy sauce,"(or all purpose, Note 3)",tsp
100,1 1/2,Mongolian Lamb,Sambal Oelak or other chilli paste,(or omit for no spice),tsp
101,3,Mongolian Lamb,hoisin sauce,(I used Lee Kum Kee brand),tbsp
102,2,Mongolian Lamb,Chinese cooking wine,(Note 4 subs),tbsp
103,1/4,Mongolian Lamb,Chinese five spice powder,(Note 5),tsp
104,3/4,Mongolian Lamb,water,,cup
105,1,Mongolian Lamb,sesame oil,toasted (Note 6),tsp
106,2,Mongolian Lamb,vegetable oil,(or canola or peanut),tbsp
107,1,Mongolian Lamb,large onion,"cut into large 2.5cm / 1"" squares",
108,2,Mongolian Lamb,garlic,finely chopped,cloves
109,4,Mongolian Lamb,green onions,"cut into 5cm/2"" lengths",
110,300g/ 10oz,Honey Chicken - STAYS CRISPY for hours!,chicken thighs,"skinless boneless, cut into 2.5cm/1"" pieces (Note 1)",
111,1,Honey Chicken - STAYS CRISPY for hours!,light soy sauce,"(or all purpose, NOT dark soy)",tbsp
112,2,Honey Chicken - STAYS CRISPY for hours!,Chinese cooking wine,(sub with soy),tsp
113,2,Honey Chicken - STAYS CRISPY for hours!,cornflour/cornstarch,,tsp
114,1/2,Honey Chicken - STAYS CRISPY for hours!,cornflour/cornstarch,,cup
115,6,Honey Chicken - STAYS CRISPY for hours!,cornflour/cornstarch,(Note 8),tbsp
116,4,Honey Chicken - STAYS CRISPY for hours!,flour,plain/all purpose,tbsp
117,7 - 8,Honey Chicken - STAYS CRISPY for hours!,"COLD soda water, club soda or seltzer water","(NOT sparkling mineral water, Note 2)",tbsp
118,1/4,Honey Chicken - STAYS CRISPY for hours!,baking powder,(NOT baking soda),tsp
119,1/4,Honey Chicken - STAYS CRISPY for hours!,salt,kosher/cooking (halve for table salt),tsp
120,2 - 3,Honey Chicken - STAYS CRISPY for hours!,vegetable oil,(or canola),cups
121,1/3 cup (100g),Honey Chicken - STAYS CRISPY for hours!,honey,,
122,1.5 tbsp (25g),Honey Chicken - STAYS CRISPY for hours!,glucose OR corn syrup (light),(Note 6),
123,1,Honey Chicken - STAYS CRISPY for hours!,light soy sauce,(or all purpose),tbsp
124,2,Honey Chicken - STAYS CRISPY for hours!,Chinese cooking wine,(or more soy sauce),tsp
125,25g / 2 oz,Honey Chicken - STAYS CRISPY for hours!,Vermicelli rice noodles (optional),"a wad of it (not bean noodles, must be rice noodles)",
126,,Honey Chicken - STAYS CRISPY for hours!,"Sesame seeds, finely sliced green onions",,
127,400g/14oz,Sweet and Sour Pork - best ever!,"pork scotch roast (aka pork neck, collar butt) or shoulder / butt,","cut into 2cm / 4/5"" cubes (Note 1)",
128,1/2,Sweet and Sour Pork - best ever!,onion,finely grated (Note 2a),
129,1,Sweet and Sour Pork - best ever!,garlic,finely grated (Note 2a),tsp
130,1,Sweet and Sour Pork - best ever!,ginger,finely grated (Note 2a),tsp
131,3/8,Sweet and Sour Pork - best ever!,baking soda (bi-carb),(Note 2b),tsp
132,2,Sweet and Sour Pork - best ever!,cornflour/cornstarch,,tsp
133,2,Sweet and Sour Pork - best ever!,light soy sauce,or all purpose (Note 3),tbsp
134,5,Sweet and Sour Pork - best ever!,cornflour/cornstarch,- for mixing in,tbsp
135,1/2,Sweet and Sour Pork - best ever!,cornflour/cornstarch,- for Coating,cup
136,2 - 3,Sweet and Sour Pork - best ever!,vegetable or canola oil,,cups
137,1/3,Sweet and Sour Pork - best ever!,white sugar,,cup
138,1/3,Sweet and Sour Pork - best ever!,apple cider vinegar,(or 1/4 cup normal white vinegar),cup
139,3,Sweet and Sour Pork - best ever!,pineapple juice,"(from a 227g/8oz can pineapple pieces in juice, preferably no added sugar, Note 4)",tbsp
140,3,Sweet and Sour Pork - best ever!,ketchup,(or Aussie tomato sauce),tbsp
141,1/2,Sweet and Sour Pork - best ever!,Worcestershire sauce,,tsp
142,1,Sweet and Sour Pork - best ever!,soy sauce,light,tbsp
143,1,Sweet and Sour Pork - best ever!,Oyster Sauce,(Note 5),tsp
144,4,Sweet and Sour Pork - best ever!,cornflour/corn starch,,tsp
145,1/2,Sweet and Sour Pork - best ever!,water,,cup
146,1,Sweet and Sour Pork - best ever!,oil,,tbsp
147,1,Sweet and Sour Pork - best ever!,garlic clove,finely chopped,
148,2,Sweet and Sour Pork - best ever!,ginger,finely chopped,tsp
149,1,Sweet and Sour Pork - best ever!,onion,"(medium), cut into 2.5cm/ 1"" cubes (brown, white, yellow)",
150,1/2,Sweet and Sour Pork - best ever!,red capsicum/bell pepper,"(large), cut into 2.5cm / 1"" cubes",
151,1/2,Sweet and Sour Pork - best ever!,green capsicum/bell pepper,"(large), cut into 2.5cm /  1"" cubes",
152,1,Sweet and Sour Pork - best ever!,pineapple pieces,(from the can of pineapple under Sauce),cup
153,2,Chicken Broccoli Stir Fry (extra saucy!),cornflour/cornstarch,,tbsp
154,3,Chicken Broccoli Stir Fry (extra saucy!),soy sauce,all purpose or light (Note 1),tbsp
155,1 1/2,Chicken Broccoli Stir Fry (extra saucy!),Chinese cooking wine or Mirin,(Note 2),tbsp
156,3,Chicken Broccoli Stir Fry (extra saucy!),oyster sauce,(Note 3),tbsp
157,2,Chicken Broccoli Stir Fry (extra saucy!),sesame oil,,tsp
158,,Chicken Broccoli Stir Fry (extra saucy!),Dash of white pepper,(sub black),
159,2,Chicken Broccoli Stir Fry (extra saucy!),oil,"peanut, vegetable or canola",tbsp
160,1/2,Chicken Broccoli Stir Fry (extra saucy!),onion,sliced,
161,2,Chicken Broccoli Stir Fry (extra saucy!),garlic cloves,finely minced,
162,500g/1 lb,Chicken Broccoli Stir Fry (extra saucy!),"chicken thighs or breast, thinly sliced","(optional tenderise, Note 4)",
163,400g/ 14 oz,Chicken Broccoli Stir Fry (extra saucy!),broccoli florets,"broken/cut into small bite size pieces (2 medium heads, ~5 cups)",
164,1 1/4,Chicken Broccoli Stir Fry (extra saucy!),water,,cups
165,3,Chinese Noodle Soup,"chicken stock/broth, low sodium",(Note 1),cups
166,2,Chinese Noodle Soup,garlic cloves,smashed (Note 2),
167,"1.5 cm / 1/2""",Chinese Noodle Soup,"ginger piece, ","cut into 3 slices (optional, but highly recommended)",
168,1 1/2,Chinese Noodle Soup,light soy sauce,or normal all purpose soy sauce (Note 3),tbsp
169,2,Chinese Noodle Soup,sugar,(any),tsp
170,1 1/2,Chinese Noodle Soup,chinese cooking wine,(Note 4),tbsp
171,1/4 - 1/2,Chinese Noodle Soup,sesame oil,toasted (optional) (Note 5),tsp
172,180g / 6oz,Chinese Noodle Soup,fresh egg noodles,(Note 6),
173,2,Chinese Noodle Soup,large bok choy or other vegetables of choice,(use any blanchable veg - Note 7),
174,1,Chinese Noodle Soup,shredded cooked chicken,(or other protein of choice),cup
175,1,Chinese Noodle Soup,scallion / shallot,green part only finely sliced (optional garnish),
176,180g (6oz ),Chop Suey (Chicken Stir Fry),chicken breast,thinly sliced,
177,1/2,Chop Suey (Chicken Stir Fry),baking soda / bi-carb,"(optional, Note 1)",tsp
178,1,Chop Suey (Chicken Stir Fry),cornflour / corn starch,,tbsp
179,1 1/2,Chop Suey (Chicken Stir Fry),light soy sauce,or all purpose soy(Note 3),tbsp
180,1,Chop Suey (Chicken Stir Fry),Oyster Sauce,(Note 4),tbsp
181,1,Chop Suey (Chicken Stir Fry),Chinese Cooking Wine,OR Mirin (Note 5),tbsp
182,1/2,Chop Suey (Chicken Stir Fry),sesame oil,(optional),tsp
183,,Chop Suey (Chicken Stir Fry),Dash of white pepper,(or black),
184,3/4 cup (185 ml),Chop Suey (Chicken Stir Fry),water,,
185,1 1/2,Chop Suey (Chicken Stir Fry),vegetable oil,(or other cooking oil),tbsp
186,2,Chop Suey (Chicken Stir Fry),garlic cloves,finely chopped,
187,1/2,Chop Suey (Chicken Stir Fry),onion,"sliced (white, brown, yellow)",
188,5 - 6,Chop Suey (Chicken Stir Fry),stems choy sum,(or other Asian greens),
189,1,Chop Suey (Chicken Stir Fry),medium carrot,,
190,1/2,Chop Suey (Chicken Stir Fry),sliced mushrooms,"(shiitake is authentic, but any will do)",cup
191,1,Chop Suey (Chicken Stir Fry),bean sprouts,,cup
192,3,Siu Mai (Shumai) - Chinese steamed dumplings,dried shiitake mushrooms,"soaked in boiling water, finely chopped (Note 1)",
193,350g/ 13oz ,Siu Mai (Shumai) - Chinese steamed dumplings,pork mince (ground pork),fatty (Note 2),
194,3/4,Siu Mai (Shumai) - Chinese steamed dumplings,salt,,tsp
195,2.5,Siu Mai (Shumai) - Chinese steamed dumplings,sugar,,tsp
196,1,Siu Mai (Shumai) - Chinese steamed dumplings,light soy sauce,(Note 4),tsp
197,1.5,Siu Mai (Shumai) - Chinese steamed dumplings,Chinese cooking wine,"(aka Shaoxing wine, sub Mirin or dry sherry) (Note 5)",tbsp
198,150g/5oz,Siu Mai (Shumai) - Chinese steamed dumplings,prawns/shrimp,"peeled and deveined, chopped 0.5cm / 1/5"" (Note 3)",
199,2,Siu Mai (Shumai) - Chinese steamed dumplings,white part of green onions,finely minced (Note 6),tbsp
200,20 - 25,Siu Mai (Shumai) - Chinese steamed dumplings,wonton wrappers / egg wrappers,"8cm/3.5"" squares or rounds (Note 7)",
201,50g/1.5oz,Siu Mai (Shumai) - Chinese steamed dumplings,flying fish roe,(Note 8 for alternatives),
202,1,Chinese Broccoli with Oyster Sauce (Gai Lan),bunch Chinese broccoli,"(""Gai Lan"") (Note 1)",
203,3/4,Chinese Broccoli with Oyster Sauce (Gai Lan),corn flour / corn starch,,tsp
204,3,Chinese Broccoli with Oyster Sauce (Gai Lan),water,,tbsp
205,2,Chinese Broccoli with Oyster Sauce (Gai Lan),oyster sauce,,tbsp
206,2,Chinese Broccoli with Oyster Sauce (Gai Lan),soy sauce,light or all purpose (not dark soy),tsp
207,1,Chinese Broccoli with Oyster Sauce (Gai Lan),Chinese cooking wine,"(sub Mirin or Dry Sheer, Note 1)",tbsp
208,1/2,Chinese Broccoli with Oyster Sauce (Gai Lan),sesame oil,,tsp
209,1/2,Chinese Broccoli with Oyster Sauce (Gai Lan),vegetable oil,(or canola or peanut),tbsp
210,1/2,Chinese Broccoli with Oyster Sauce (Gai Lan),sugar,,tsp
211,1,Chinese Broccoli with Oyster Sauce (Gai Lan),garlic,finely grated,clove
212,1,Chinese Broccoli with Oyster Sauce (Gai Lan),ginger,finely grated,tsp
213,2,Dan Dan Noodles (Spicy Sichuan noodles),Chinese sesame paste,"(sub tahini, Note 1)",tbsp
214,1.5,Dan Dan Noodles (Spicy Sichuan noodles),Chinese chilli paste in oil,adjust spiciness (Note 2),tbsp
215,4,Dan Dan Noodles (Spicy Sichuan noodles),light soy sauce,(Note 3),tbsp
216,2,Dan Dan Noodles (Spicy Sichuan noodles),garlic cloves,minced,
217,3,Dan Dan Noodles (Spicy Sichuan noodles),white sugar,,tsp
218,1/2,Dan Dan Noodles (Spicy Sichuan noodles),Chinese five spice powder,(Note 4),tsp
219,1,Dan Dan Noodles (Spicy Sichuan noodles),Sichuan pepper powder,preferably freshly ground (Note 5),tsp
220,3,Dan Dan Noodles (Spicy Sichuan noodles),(or more!) chilli oil,preferably Chinese (Note 6),tbsp
221,3/4 cup (185ml),Dan Dan Noodles (Spicy Sichuan noodles),chicken broth/stock,"hot, low sodium",
222,2,Dan Dan Noodles (Spicy Sichuan noodles),Hoisin sauce,,tsp
223,1,Dan Dan Noodles (Spicy Sichuan noodles),dark soy sauce,(Note 7),tsp
224,1,Dan Dan Noodles (Spicy Sichuan noodles),Chinese cooking wine,(sub 2 tbsp extra chicken stock),tbsp
225,1/2,Dan Dan Noodles (Spicy Sichuan noodles),Chinese five spice powder,(Note 4),tsp
226,1,Dan Dan Noodles (Spicy Sichuan noodles),vegetable oil,,tbsp
227,250g/ 8oz ,Dan Dan Noodles (Spicy Sichuan noodles),pork mince,(ground pork),
228,1,Dan Dan Noodles (Spicy Sichuan noodles),vegetable oil,,tsp
229,30g (1/4 cup) ,Dan Dan Noodles (Spicy Sichuan noodles),Sui Mi Ya Cai (preserved mustard greens),finely chopped (Note 8),
230,500g/1lb,Dan Dan Noodles (Spicy Sichuan noodles),white fresh noodles,medium thickness (Note 9),
231,16,Dan Dan Noodles (Spicy Sichuan noodles),choy sum stems,cut into 15cm pieces,
232,2,Dan Dan Noodles (Spicy Sichuan noodles),green onions,finely sliced,
233,1,Dan Dan Noodles (Spicy Sichuan noodles),peanuts,finely chopped (optional),tbsp
234,1,Vegetable Stir Fry,vegetable oil,,tbsp
235,2,Vegetable Stir Fry,garlic cloves,finely chopped,
236,1,Vegetable Stir Fry,ginger,finely sliced (optional),tbsp
237,1/2,Vegetable Stir Fry,onion,peeled and sliced,
238,1,Vegetable Stir Fry,carrot,large,
239,3,Vegetable Stir Fry,medium buk choy,or other leafy greens of choice (Note 1),
240,1,Vegetable Stir Fry,mushrooms,"sliced 3mm / 1/8"" thick",cup
241,1,Vegetable Stir Fry,capsicum,"sliced 1/2cm / 1/5"" thick",
242,1,Vegetable Stir Fry,cornflour / corn starch,,tbsp
243,1 1/2,Vegetable Stir Fry,soy sauce,light or all purpose (not dark soy) (Note 2),tbsp
244,2,Vegetable Stir Fry,Oyster Sauce,,tsp
245,1,Vegetable Stir Fry,Chinese Cooking Wine or Mirin,(Note 3),tbsp
246,1/2,Vegetable Stir Fry,sesame oil,(optional),tsp
247,,Vegetable Stir Fry,Dash of white pepper,(or black),
248,3/4 cup / 185 ml ,Vegetable Stir Fry,water,,
249,,Vegetable Stir Fry,Finely sliced green onions,,
250,,Vegetable Stir Fry,Sesame seeds,,
251,500g/ 1 lb ,Smashed Cucumber Salad,cucumbers,"(4 medium or 2 long cucumbers, Note 1)",
252,3/4,Smashed Cucumber Salad,salt,,tsp
253,2,Smashed Cucumber Salad,coriander/cilantro,roughly chopped,tbsp
254,1/4,Smashed Cucumber Salad,green onions,sliced,cup
255,1.5,Smashed Cucumber Salad,rice vinegar,,tbsp
256,2,Smashed Cucumber Salad,sesame oil,toasted (Note 2),tsp
257,1.5,Smashed Cucumber Salad,ginger,freshly grated,tsp
258,2,Smashed Cucumber Salad,soy sauce,,tsp
259,1/2,Smashed Cucumber Salad,sugar,,tsp
260,1.5,Lo Mein Noodles,vegetable or peanut oil,,tbsp
261,2,Lo Mein Noodles,garlic cloves,finely minced (Note 1),
262,1/2,Lo Mein Noodles,onion,finely sliced,
263,300g / 10oz,Lo Mein Noodles,chicken or other protein,"sliced 0.5cm / 1/5"" thick (Note 2)",
264,2,Lo Mein Noodles,medium carrots,"peeled and cut into 4 x 0.75cm / 1.75 x 1/3"" batons",
265,1,Lo Mein Noodles,large red capsicum / bell pepper,sliced (or 2 small),
266,6,Lo Mein Noodles,green onions,cut into 5 cm/2” lengths,
267,500g / 1lb,Lo Mein Noodles,"Lo Mein, Hokkien or other medium thickness egg noodles, fresh,",prepared per packet (Note 3 for dried),
268,1/4 cup (65ml),Lo Mein Noodles,water,,
269,4,Lo Mein Noodles,cornflour / cornstarch,,tsp
270,2,Lo Mein Noodles,dark soy sauce,(Note 4),tbsp
271,2,Lo Mein Noodles,soy sauce or light soy sauce,(Note 4),tbsp
272,1,Lo Mein Noodles,Chinese cooking wine or Mirin,(Note 5 subs),tbsp
273,1,Lo Mein Noodles,white sugar,(omit if using Mirin),tsp
274,1/2,Lo Mein Noodles,sesame oil,"toasted, optional (Note 6)",tsp
275,1/4,Lo Mein Noodles,white pepper,(sub black),tsp
276,,Lo Mein Noodles,Green onion,finely sliced,
277,2 1/2,Beef Stir Fry with Honey Pepper Sauce,soy sauce,(Note 1),tbsp
278,3,Beef Stir Fry with Honey Pepper Sauce,honey,,tbsp
279,1 1/2,Beef Stir Fry with Honey Pepper Sauce,Oyster sauce,(sub Hoisin),tbsp
280,1 1/2,Beef Stir Fry with Honey Pepper Sauce,Chinese cooking wine,Mirin or dry sherry (Note 2),tbsp
281,2,Beef Stir Fry with Honey Pepper Sauce,water,,tbsp
282,1,Beef Stir Fry with Honey Pepper Sauce,coarsely crushed black pepper,(or 1/2 tsp normal ground black pepper),tsp
283,2,Beef Stir Fry with Honey Pepper Sauce,peanut oil,(or vegetable or canola oil),tbsp
284,1,Beef Stir Fry with Honey Pepper Sauce,garlic clove,finely minced,
285,1/2,Beef Stir Fry with Honey Pepper Sauce,onion,peeled and sliced,
286,500g/1 lb,Beef Stir Fry with Honey Pepper Sauce,"thinly sliced tenderloin, flank, sirloin/Porterhouse/strip, ",or any other cut of steak suitable for stir frying (Notes 3),
287,200g /6 oz,Chow Mein,chicken breast or thigh fillets,thinly sliced (Note 1 tenderise option),
288,4,Chow Mein,green cabbage,finely shredded (Note 3),cups
289,1 1/2,Chow Mein,peanut oil,(or other cooking oil),tbsp
290,2,Chow Mein,garlic,finely chopped,cloves
291,200g /6 oz,Chow Mein,chow mein noodles ,(Note 2),
292,1,Chow Mein,carrot,julienned,
293,1 1/2,Chow Mein,bean sprouts,,cups
294,3,Chow Mein,green onions,"cut into 5cm/2"" pieces",
295,1/4 cup (65 ml),Chow Mein,water,,
296,2,Chow Mein,cornflour / cornstarch,,tsp
297,1 1/2,Chow Mein,soy sauce,all purpose or light (Note 4),tbsp
298,1 1/2,Chow Mein,oyster sauce,(sub Hoisin),tbsp
299,1 1/2,Chow Mein,Chinese cooking wine,OR Mirin (Note 5),tbsp
300,2,Chow Mein,sugar,(reduce to 1 tsp if using Mirin),tsp
301,1/2,Chow Mein,sesame oil,,tsp
302,,Chow Mein,White pepper,(sub black),
303,2,Chicken Fried Rice,oil,"peanut, vegetable or canola",tbsp
304,2,Chicken Fried Rice,eggs,lightly whisked,
305,150g (5oz),Chicken Fried Rice,chicken breast,finely sliced into small pieces,
306,2,Chicken Fried Rice,garlic cloves,minced,
307,1/2,Chicken Fried Rice,onion,finely chopped,
308,120g (4oz),Chicken Fried Rice,bacon,"excess fat trimmed, chopped (Note 1)",
309,1,Chicken Fried Rice,small carrot*,"peeled and diced 0.75cm / 1/3""",
310,1/2,Chicken Fried Rice,frozen corn*,(or can or fresh),cup
311,1/2,Chicken Fried Rice,frozen peas*,,cup
312,2,Chicken Fried Rice,(packed) cooked white rice,day old (Note 2),cups
313,3/4,Chicken Fried Rice,green onions,finely sliced,cup
314,2.5,Chicken Fried Rice,Chinese cooking wine or Mirin,(Note 3),tbsp
315,1,Chicken Fried Rice,oyster sauce,(Note 4),tbsp
316,3,Chicken Fried Rice,light soy sauce,(Note 5),tbsp
317,1/2,Chicken Fried Rice,sesame oil,optional,tsp
318,1/4,Chicken Fried Rice,white pepper,optional,tsp
319,1,How to cook white rice - easily and perfectly,white rice,"– short, medium or long grain, uncooked (Note 1)",cup
