,amount,meal,name,notes,unit
39,3 – 4,Pakora (Indian Vegetable Fritters),vegetable or canola oil,(4cm / 1.5″ depth in pot),cups
40,2,Pakora (Indian Vegetable Fritters),mint leaves,,cups
41,1,Pakora (Indian Vegetable Fritters),coriander/cilantro leaves,,cup
42,1/4,Pakora (Indian Vegetable Fritters),eschalot,sliced,cup
43,3,Pakora (Indian Vegetable Fritters),lime juice,,tbsp
44,1,Pakora (Indian Vegetable Fritters),caster sugar,,tsp
45,1/2,Pakora (Indian Vegetable Fritters),cumin seeds,,tsp
46,1/2,Pakora (Indian Vegetable Fritters),cooking/kosher salt,,tsp
47,2,Pakora (Indian Vegetable Fritters),ice cubes,(loosens + keeps sauce green),
48,1,Pakora (Indian Vegetable Fritters),plain yoghurt,,cup
49,1/2,Pakora (Indian Vegetable Fritters),mint leaves,packed,cup
50,1/4,Pakora (Indian Vegetable Fritters),salt,,tsp
51,1 1/2,Samosa recipe,flour,plain/all purpose,cups
52,1,Samosa recipe,ajwain seeds,(Note 1),tsp
53,1/2,Samosa recipe,salt,cooking/kosher,tsp
54,4,Samosa recipe,ghee,(melted and cooled) or oil (any vegetable) (Note 2),tbsp
55,6,Samosa recipe,water,(cold tap water),tbsp
56,500g/1,Samosa recipe,potatoes,starchy/all-rounder (Note 3),
57,2,Samosa recipe,vegetable/canola oil,,tbsp
58,1,Samosa recipe,cumin seeds,,tsp
59,1/4,Samosa recipe,black mustard seeds,,tsp
60,1/2,Samosa recipe,coriander seeds,,tsp
61,1,Samosa recipe,fresh ginger,finely grated,tbsp
62,1,Samosa recipe,green chilli,finely chopped (serrano or cayenne),tbsp
63,1/2,Samosa recipe,frozen green peas,(thawed),cup
64,1,Samosa recipe,garam masala,,tsp
65,1/4,Samosa recipe,amchur,(Note 4),tsp
66,1/2,Samosa recipe,asafoetida,(Note 5),tsp
67,1/4,Samosa recipe,cumin powder,,tsp
68,1/2,Samosa recipe,turmeric powder,,tsp
69,1,Samosa recipe,salt,kosher/cooking,tsp
70,2,Samosa recipe,coriander/cilantro leaves,finely chopped,tbsp
71,,Samosa recipe,Vegetable/Canola oil for frying,(at least 1 litre/1 quart),
72,,Samosa recipe,Tamarind Dipping Sauce,– see separate recipe card below,
73,1,Samosa recipe,vegetable/canola oil,,tbsp
74,1/2,Samosa recipe,ground ginger,,tsp
75,1/4,Samosa recipe,chilli powder,*optional,tsp
76,1/2,Samosa recipe,ground cumin,,tsp
77,1/4,Samosa recipe,asafoetida,(Note 1),tsp
78,1/4,Samosa recipe,garam masala,,tsp
79,1,Samosa recipe,water,,cup
80,2 – 3,Samosa recipe,tamarind paste/concentrate,(Note 2),tbsp
81,1/2,Samosa recipe,brown sugar,,cup
82,1,Naan recipe – chewy & fluffy!,instant / rapid rise yeast,(Note 1),tsp
83,1/2,Naan recipe – chewy & fluffy!,warm tap water,(~40°C/105°F in temperature),cup
84,1,Naan recipe – chewy & fluffy!,white sugar,,tbsp
85,2,Naan recipe – chewy & fluffy!,milk,full fat (low fat ok too),tbsp
86,1 1/2,Naan recipe – chewy & fluffy!,whisked egg,"at room temp (around 1/2 an egg, Note 2)",tbsp
87,1/2,Naan recipe – chewy & fluffy!,salt,cooking / kosher,tsp
88,1 3/4,Naan recipe – chewy & fluffy!,bread flour,or all-purpose/plain (Note 3),cups
89,30g / 2 tbsp,Naan recipe – chewy & fluffy!,ghee or unsalted butter,melted (Note 4),
90,30g / 2 tbsp,Naan recipe – chewy & fluffy!,ghee or butter,melted (Note 4),tbsp
91,1,Naan recipe – chewy & fluffy!,small garlic clove,for Garlic Butter option (Note 5),
92,,Naan recipe – chewy & fluffy!,Nigella seeds,,
93,,Naan recipe – chewy & fluffy!,Coriander/cilantro,finely chopped,
94,,Naan recipe – chewy & fluffy!,Shredded cheese,"(for cheese naan) – Monterey Jack, cheddar, tasty, colby, anything that melts (shred yourself) (Note 6)",
95,2,Cabbage & Carrot Thoran-style Indian Salad,coconut oil,unrefined (Note 1),tbsp
96,3/4,Cabbage & Carrot Thoran-style Indian Salad,black mustard seeds,(Note 2),tsp
97,3/4,Cabbage & Carrot Thoran-style Indian Salad,cumin seeds,,tsp
98,3,Cabbage & Carrot Thoran-style Indian Salad,eschalots (USA: shallots),finely diced (Note 3),
99,1/2,Cabbage & Carrot Thoran-style Indian Salad,onion,"(large), finely diced",
100,3,Cabbage & Carrot Thoran-style Indian Salad,garlic cloves,finely minced,
101,1,Cabbage & Carrot Thoran-style Indian Salad,green chilli,deseeded and finely chopped (Note 4),
102,12,Cabbage & Carrot Thoran-style Indian Salad,curry leaves,fresh (Note 5),
103,1/2,Cabbage & Carrot Thoran-style Indian Salad,tumeric powder,,tsp
104,1/2,Cabbage & Carrot Thoran-style Indian Salad,desiccated coconut,unsweetened (Note 6),cup
105,1/2,Cabbage & Carrot Thoran-style Indian Salad,water,,cup
106,3/4,Cabbage & Carrot Thoran-style Indian Salad,salt,,tsp
107,1/4,Cabbage & Carrot Thoran-style Indian Salad,small red cabbage,very finely sliced (~6 cups),
108,2,Cabbage & Carrot Thoran-style Indian Salad,small carrots or 1 very large carrot,peeled and finely shredded,
109,1/4,Cabbage & Carrot Thoran-style Indian Salad,fresh coriander/cilantro leaves,roughly chopped,cup
110,1,Palak Paneer – Indian Spinach Curry with Cheese,batch homemade Paneer,(Indian fresh cheese; recipe linked below),
111,30g / 2 tbsp,Palak Paneer – Indian Spinach Curry with Cheese,ghee or unsalted butter,"(for pan frying, Note 2)",
112,30g/2 tbsp,Palak Paneer – Indian Spinach Curry with Cheese,ghee or unsalted butter,(Note 2),
113,1 1/2,Palak Paneer – Indian Spinach Curry with Cheese,onions,finely chopped (brown or yellow),
114,1,Palak Paneer – Indian Spinach Curry with Cheese,fenugreek seeds (whole),(Note 3),tsp
115,1,Palak Paneer – Indian Spinach Curry with Cheese,ground cumin,,tsp
116,1,Palak Paneer – Indian Spinach Curry with Cheese,ground coriander,,tsp
117,3/4,Palak Paneer – Indian Spinach Curry with Cheese,salt,"kosher/cooking salt (if using table salt, reduce by 1/4 tsp)",tsp
118,1/4,Palak Paneer – Indian Spinach Curry with Cheese,black pepper,,tsp
119,2,Palak Paneer – Indian Spinach Curry with Cheese,garlic cloves,finely chopped,
120,2,Palak Paneer – Indian Spinach Curry with Cheese,ginger,finely grated (20g),tsp
121,2,Palak Paneer – Indian Spinach Curry with Cheese,tomatoes,"peeled, seeded and diced (Note 4)",
122,1,Palak Paneer – Indian Spinach Curry with Cheese,green chilli,"finely sliced (cayenne, Note 5)",
123,700g/ 1.4lb,Palak Paneer – Indian Spinach Curry with Cheese,fresh spinach leaves (English spinach),thoroughly washed and roughly chopped (~9 cups very tightly packed) (Note 6),
124,1/4,Palak Paneer – Indian Spinach Curry with Cheese,water,,cup
125,1/3 cup + 1 tbsp,Palak Paneer – Indian Spinach Curry with Cheese,cream,"(pure, heavy or thickened)",
126,1,Palak Paneer – Indian Spinach Curry with Cheese,lemon juice,,tbsp
127,2 1/2,Goan Fish Curry (Indian),Kashmiri chilli powder,(Note 1),tbsp
128,1,Goan Fish Curry (Indian),coriander,,tbsp
129,2,Goan Fish Curry (Indian),cumin,,tsp
130,1,Goan Fish Curry (Indian),turmeric,,tsp
131,1/2,Goan Fish Curry (Indian),fenugreek powder,(Note 2),tsp
132,3/8,Goan Fish Curry (Indian),ground cloves,,tsp
133,6,Goan Fish Curry (Indian),garlic,minced,cloves
134,1,Goan Fish Curry (Indian),fresh ginger,finely grated,tbsp
135,2,Goan Fish Curry (Indian),tamarind puree,(Note 3),tbsp
136,1/2,Goan Fish Curry (Indian),red onion,chopped,
137,6,Goan Fish Curry (Indian),water,"(plus more, as needed)",tbsp
138,3,Goan Fish Curry (Indian),vegetable oil,,tbsp
139,1/2,Goan Fish Curry (Indian),black mustard seeds,(Note 4),tsp
140,1/2,Goan Fish Curry (Indian),red onion,cut in half again (like a quartered orange) and thinly sliced,
141,1,Goan Fish Curry (Indian),tomato paste,,tbsp
142,2/3,Goan Fish Curry (Indian),canned tomato pulp/polp,"(Mutti), OR tomato passata or crushed tomato, Note 5)",cup
143,2/3,Goan Fish Curry (Indian),water,,cup
144,400ml/ 14oz,Goan Fish Curry (Indian),coconut milk,full fat (Note 6),
145,1 1/4,Goan Fish Curry (Indian),salt,cooking/kosher (or 3/4 tsp fine table salt),tsp
146,1 1/2,Goan Fish Curry (Indian),sugar,,tsp
147,1/4,Goan Fish Curry (Indian),chilli powder,"(pure chilli, not US Chili Powder which is a mix, Note 7)",tsp
148,2,Goan Fish Curry (Indian),long green chillies,"cut into half lengthwise and deseeded, optional (Note 8)",
149,1,Goan Fish Curry (Indian),tomato,"cut into 8 wedges then into 2.5cm / 1"" chunks",
150,600g / 1.2 lb,Goan Fish Curry (Indian),firm-fleshed white fish,"cut into 3cm / 1.25"" cubes (Note 9)",
151,1/4,Goan Fish Curry (Indian),fresh coriander/cilantro leaves,,cup
152,,Goan Fish Curry (Indian),Finely sliced green chillies,optional,
153,,Goan Fish Curry (Indian),Basmati rice,,
154,700g / 1.4lb,Vegetable Samosa Pie,potato,"cut into 2cm / 4/5"" pieces",
155,3,Vegetable Samosa Pie,vegetable oil,,tbsp
156,1.5,Vegetable Samosa Pie,black mustard seeds,(Note 1),tsp
157,1,Vegetable Samosa Pie,cumin seeds,(Note 2),tsp
158,1,Vegetable Samosa Pie,fennel seeds,(Note 2),tsp
159,15,Vegetable Samosa Pie,curry leaves,fresh (Note 3),
160,1,Vegetable Samosa Pie,garlic,finely grated,tbsp
161,1,Vegetable Samosa Pie,ginger,finely grated,tbsp
162,1,Vegetable Samosa Pie,onion,"finely chopped (brown, white, yellow)",
163,1/2,Vegetable Samosa Pie,turmeric powder,,tsp
164,2,Vegetable Samosa Pie,curry powder,(Note 4),tsp
165,1/2,Vegetable Samosa Pie,chilli powder,"adjust spiciness to taste ((pure ground, not US Chili Spice Mi, sub cayenne)",tsp
166,1,Vegetable Samosa Pie,tomato paste,,tbsp
167,1,Vegetable Samosa Pie,tomato *,"chopped into 1.5cm / 1/2"" pieces",
168,1,Vegetable Samosa Pie,zucchini *,"chopped into 1.5cm / 1/2"" pieces",
169,1,Vegetable Samosa Pie,carrot *,"chopped into 1.5cm / 1/2"" pieces",
170,1/2,Vegetable Samosa Pie,cauliflower *,"(small), cut/broken into small florets (~ 3 cups)",
171,1/2,Vegetable Samosa Pie,black pepper,,tsp
172,1,Vegetable Samosa Pie,salt,,tsp
173,2,Vegetable Samosa Pie,water,,cups
174,1,Vegetable Samosa Pie,frozen green peas *,,cup
175,2,Vegetable Samosa Pie,sheets puff pastry,(Note 5),
176,1,Vegetable Samosa Pie,egg,lightly whisked,
177,,Vegetable Samosa Pie,Plain yogurt,,
178,,Vegetable Samosa Pie,Coriander/cilantro leaves,"option (decorative only, pictured)",
179,2,Eggplant Curry - South Indian Brinjal Curry,vegetable oil,(or canola),tbsp
180,700g / 1.2 lb,Eggplant Curry - South Indian Brinjal Curry,eggplant (aubergine),2 medium (Note 1),
181,1/2,Eggplant Curry - South Indian Brinjal Curry,each salt and pepper,,tsp
182,3,Eggplant Curry - South Indian Brinjal Curry,vegetable oil,(or canola),tbsp
183,3/4,Eggplant Curry - South Indian Brinjal Curry,black mustard seeds,(Note 2),tsp
184,14,Eggplant Curry - South Indian Brinjal Curry,"curry leaves, fresh",(Note 3),
185,1,Eggplant Curry - South Indian Brinjal Curry,red onion,quartered and thinly sliced,
186,3,Eggplant Curry - South Indian Brinjal Curry,passata or tomato pulp (or canned tomato),(Note 4),tbsp
187,1,Eggplant Curry - South Indian Brinjal Curry,garlic,grated (4 cloves approx),tbsp
188,1,Eggplant Curry - South Indian Brinjal Curry,ginger,grated (1.5cm piece approx),tbsp
189,1 1/4,Eggplant Curry - South Indian Brinjal Curry,water,,cups
190,1 1/4,Eggplant Curry - South Indian Brinjal Curry,salt,,tsp
191,3,Eggplant Curry - South Indian Brinjal Curry,coconut milk,"or cream, full fat (Note 5)",tbsp
192,1/4,Eggplant Curry - South Indian Brinjal Curry,cardamom powder,,tsp
193,1/4,Eggplant Curry - South Indian Brinjal Curry,ground clove,,tsp
194,1/4,Eggplant Curry - South Indian Brinjal Curry,black pepper,,tsp
195,1/2,Eggplant Curry - South Indian Brinjal Curry,chilli powder,or cayenne (NOT US Chilli Powder),tsp
196,4,Eggplant Curry - South Indian Brinjal Curry,coriander powder,,tsp
197,4,Eggplant Curry - South Indian Brinjal Curry,cumin powder,,tsp
198,,Eggplant Curry - South Indian Brinjal Curry,Basmati rice,,
199,,Eggplant Curry - South Indian Brinjal Curry,Yogurt,highly recommended,
200,,Eggplant Curry - South Indian Brinjal Curry,Coriander/cilantro leaves,optional,
201,,Eggplant Curry - South Indian Brinjal Curry,Easy flatbread (as naan!),optional,
202,50g (3 tbsp),Lentil Curry - mega flavour lentil recipe!,butter,unsalted (sub 2 tbsp neutral oil),
203,4,Lentil Curry - mega flavour lentil recipe!,garlic cloves,finely minced (Note 1),
204,1.5,Lentil Curry - mega flavour lentil recipe!,ginger,finely minced  (Note 1),tbsp
205,1,Lentil Curry - mega flavour lentil recipe!,onion,"finely chopped (white, yellow, brown)",
206,2,Lentil Curry - mega flavour lentil recipe!,curry powder,mild or spicy (your choice!) (Note 2),tbsp
207,1/2,Lentil Curry - mega flavour lentil recipe!,tumeric powder,,tsp
208,1/2,Lentil Curry - mega flavour lentil recipe!,cayenne pepper,optional,tsp
209,1 1/4,Lentil Curry - mega flavour lentil recipe!,salt,,tsp
210,1/2,Lentil Curry - mega flavour lentil recipe!,black pepper,,tsp
211,1,Lentil Curry - mega flavour lentil recipe!,dried lentils,"green or brown (or any other dried lentils or split peas, Note 3)",cup
212,400 ml / 14 oz,Lentil Curry - mega flavour lentil recipe!,coconut milk,full fat,
213,400g/ 14 oz,Lentil Curry - mega flavour lentil recipe!,canned tomato,crushed or diced,
214,3 cups (750 ml),Lentil Curry - mega flavour lentil recipe!,water,,
215,1/2,Lentil Curry - mega flavour lentil recipe!,coriander/cilantro,finely chopped,cup
216,,Lentil Curry - mega flavour lentil recipe!,Yogurt,optional,
217,,Lentil Curry - mega flavour lentil recipe!,Basmati rice,(or other rice),
218,1,How to cook Basmati Rice,uncooked basmati rice,(Note 1),cup
219,1 1/2,How to cook Basmati Rice,water,(just cold tap water),cups
220,3.5,Rogan Josh,ghee,substitute butter (Note 1),tbsp
221,1,Rogan Josh,cinnamon stick,,
222,6,Rogan Josh,green cardamom pods,lightly bruised,
223,4,Rogan Josh,cloves,,
224,1,Rogan Josh,large onion,finely chopped,
225,3,Rogan Josh,garlic,finely minced,cloves
226,1,Rogan Josh,ginger,finely grated,tbsp
227,5,Rogan Josh,tomato passata,"(US: tomato puree/sauce, Note 5)",tbsp
228,1,Rogan Josh,salt,,tsp
229,750g/1.5lb,Rogan Josh,boneless lamb shoulder,"cut into 3cm/1.2"" cubes (Note 6)",
230,1.5 cups / 375ml,Rogan Josh,chicken stock,salt reduced (broth),
231,2,Rogan Josh,paprika,normal or sweet,tbsp
232,3/4,Rogan Josh,chilli powder,"(or to taste, Note 2)",tsp
233,4,Rogan Josh,ground coriander,,tsp
234,4,Rogan Josh,ground cumin,,tsp
235,2,Rogan Josh,turmeric powder,,tsp
236,1/4,Rogan Josh,nutmeg,,tsp
237,1,Rogan Josh,garam marsala,(Note 3),tsp
238,1/2,Rogan Josh,fennel powder,(Note 4),tsp
239,1/2,Rogan Josh,extra garam masala,(Note 3),tsp
240,1/2,Rogan Josh,extra fennel powder,,tsp
241,1/2 cup / 125g,Rogan Josh,plain yoghurt,(Greek yogurt fine),
242,,Rogan Josh,"Chopped coriander leaves, finely shredded ginger, yogurt",,
243,,Rogan Josh,Basmati rice,,
244,1 1/2,Oven Baked Tandoori Chicken,plain yoghurt,(full fat best),cups
245,2,Oven Baked Tandoori Chicken,oil,(any),tbsp
246,1 1/2,Oven Baked Tandoori Chicken,lemon juice,,tbsp
247,2,Oven Baked Tandoori Chicken,ginger,grated,tsp
248,5,Oven Baked Tandoori Chicken,garlic cloves,minced,
249,3,Oven Baked Tandoori Chicken,garam masala spice mix,(Note 1),tsp
250,1.5,Oven Baked Tandoori Chicken,kashmiri chilli powder,(Note 2 subs),tbsp
251,1,Oven Baked Tandoori Chicken,turmeric powder,,tsp
252,2,Oven Baked Tandoori Chicken,cumin,,tsp
253,2 1/2,Oven Baked Tandoori Chicken,coriander powder,,tsp
254,1/2,Oven Baked Tandoori Chicken,"chilli powder, adjust to taste","(pure, not US chili Note 3)",tsp
255,1,Oven Baked Tandoori Chicken,salt,,tsp
256,1.2kg / 2.4lb,Oven Baked Tandoori Chicken,"drumsticks,  bone-in skin on chicken thighs or Marylands (whole chicken legs)",(Note 4),
257,,Oven Baked Tandoori Chicken,Oil spray,,
258,1,Oven Baked Tandoori Chicken,plain yoghurt,,cup
259,1/2,Oven Baked Tandoori Chicken,"mint leaves, packed",,cup
260,,Oven Baked Tandoori Chicken,Salt and pepper,,
261,,Oven Baked Tandoori Chicken,Olive oil,,
262,,Oven Baked Tandoori Chicken,Basmati rice,OR Saffron rice (see note),
263,2,Chickpea Curry with Potato (Chana Aloo Curry),curry powder,(Note 3),tbsp
264,1,Chickpea Curry with Potato (Chana Aloo Curry),All Spice powder,,tsp
265,1,Chickpea Curry with Potato (Chana Aloo Curry),nutmeg powder,(or 1/2 tsp freshly grated),tsp
266,1 1/2,Chickpea Curry with Potato (Chana Aloo Curry),smoked paprika,(or normal or sweet),tsp
267,2,Chickpea Curry with Potato (Chana Aloo Curry),dried thyme leaves,(or 3 tsp fresh),tsp
268,1,Chickpea Curry with Potato (Chana Aloo Curry),cumin powder,,tsp
269,3/4,Chickpea Curry with Potato (Chana Aloo Curry),cayenne pepper,,tsp
270,1,Chickpea Curry with Potato (Chana Aloo Curry),white pepper,(or 1/2 tsp black pepper),tsp
271,3 tbsp (65ml),Chickpea Curry with Potato (Chana Aloo Curry),cooking oil,(I used vegetable),
272,2,Chickpea Curry with Potato (Chana Aloo Curry),large garlic cloves,minced,
273,1,Chickpea Curry with Potato (Chana Aloo Curry),large onion,"diced (brown, white, yellow)",
274,1 1/2 cups (225g),Chickpea Curry with Potato (Chana Aloo Curry),potatoes,"cut into 1.2cm / 1/2"" cubes",
275,28 oz / 800g,Chickpea Curry with Potato (Chana Aloo Curry),canned chickpeas (2 x 14oz/400g cans),drained (Note 3),
276,14 oz / 400g,Chickpea Curry with Potato (Chana Aloo Curry),canned crushed tomatoes,,
277,2 cups (500ml),Chickpea Curry with Potato (Chana Aloo Curry),vegetable or chicken broth/stock,,
278,2,Chickpea Curry with Potato (Chana Aloo Curry),scallion/shallot stems,sliced (green & white part),
279,2,Chickpea Curry with Potato (Chana Aloo Curry),fresh parsley,finely chopped (or coriander/cilantro),tbsp
280,,Chickpea Curry with Potato (Chana Aloo Curry),Salt to taste,,
281,,Chickpea Curry with Potato (Chana Aloo Curry),Basmati rice,,
282,,Chickpea Curry with Potato (Chana Aloo Curry),White rice,,
283,3,Curried Rice,yellow curry powder,(Note 1),tsp
284,1,Curried Rice,cumin,,tsp
285,1,Curried Rice,coriander,,tsp
286,1/2,Curried Rice,paprika,,tsp
287,1/2,Curried Rice,chilli powder,(adjust spiciness to taste) (Note 2),tsp
288,40g (3 tbsp),Curried Rice,butter,(or ghee or oil) (Note 3),
289,1,Curried Rice,onion,finely chopped,
290,3,Curried Rice,garlic cloves,minced,
291,2,Curried Rice,ginger,finely chopped or grated,tsp
292,1 1/2 cups (275g) ,Curried Rice,uncooked basmati rice,(Note 4),
293,2,Curried Rice,small carrot,peeled and grated,
294,2 1/4 cups (560 ml) ,Curried Rice,"chicken or vegetable broth, low sodium",(Note 5),
295,2 cups (300g),Curried Rice,frozen peas,,
296,1 1/4,Curried Rice,salt,,tsp
297,1/2,Curried Rice,black pepper,,tsp
298,1 cup (150g),Curried Rice,cashews,"roasted, unsalted",
299,1/2,Curried Rice,coriander/cilantro leaves,finely chopped,cup
300,,Curried Rice,Yogurt,for serving (optional),
301,1/2,Butter Chicken,plain yoghurt,full fat,cup
302,1,Butter Chicken,lemon juice,,tbsp
303,1,Butter Chicken,tumeric powder,,tsp
304,2,Butter Chicken,garam masala ,(Note 1),tsp
305,1/2,Butter Chicken,chilli powder or cayenne pepper powder ,(Note 2),tsp
306,1,Butter Chicken,ground cumin,,tsp
307,1,Butter Chicken,"ginger, freshly grated ",,tbsp
308,2,Butter Chicken,"garlic, crushed",,cloves
309,1.5 lb / 750 g ,Butter Chicken,"chicken thigh fillets, cut into bite size pieces",,
310,2 tbsp (30 g),Butter Chicken,"ghee or butter, ",OR 1 tbsp vegetable oil  (Note 3),
311,1,Butter Chicken,tomato passata (aka tomato puree),(Note 4),cup
312,1,Butter Chicken,heavy / thickened cream,(Note 5),cup
313,1,Butter Chicken,sugar,,tbsp
314,1 1/4,Butter Chicken,salt,,tsp
315,,Butter Chicken,Basmati rice,,
316,,Butter Chicken,White rice,,
317,,Butter Chicken,Coriander/cilantro (optional),,
318,3,Indian Tomato Salad with Mint Dressing,"large ripe tomatoes,",sliced into rounds,
319,1/4,Indian Tomato Salad with Mint Dressing,red onion,very thinly sliced,
320,1,Indian Tomato Salad with Mint Dressing,of garam marsala,to taste (optional),pinch
321,1 cup / 250g ,Indian Tomato Salad with Mint Dressing,plain yoghurt,,
322,2,Indian Tomato Salad with Mint Dressing,mint leaves,,cups
323,1,Indian Tomato Salad with Mint Dressing,lemon juice,or to taste,tbsp
324,,Indian Tomato Salad with Mint Dressing,Couple of pinches of salt,,
325,1,Indian Tomato Salad with Mint Dressing,tbsp+ water,,
326,750g (1.5 lb),Biryani,chicken thighs,"skin on, bone in, halved along bone (Note 1)",
327,2/3 cup (150 ml),Biryani,yoghurt,plain,
328,1/2 cup (125 ml),Biryani,water,,
329,2,Biryani,vegetable oil,(or other plain oil),tbsp
330,6,Biryani,garlic cloves,minced,
331,2,Biryani,finely grated fresh ginger,,tsp
332,1/8,Biryani,ground turmeric,,tsp
333,1/4,Biryani,cinnamon,,tsp
334,1/2,Biryani,cayenne,(adjust spiciness to taste),tsp
335,1/2,Biryani,ground cardamom,,tsp
336,2,Biryani,garam marsala,(Note 2),tsp
337,2,Biryani,coriander,,tsp
338,1,Biryani,cumin,,tbsp
339,2,Biryani,paprika,sweet / ordinary (not smoked),tbsp
340,1 3/4,Biryani,salt,,tsp
341,2,Biryani,salt,,tbsp
342,10,Biryani,cloves,,
343,5,Biryani,dried bay leaves,,
344,1,Biryani,star anise,,
345,6,Biryani,green cardamon pods,,
346,2 1/4 cups (450g),Biryani,uncooked basmati rice,(Note 3),
347,2,Biryani,"medium onions (yellow, brown)",halved and finely sliced,
348,1 cup (250 ml),Biryani,oil,for frying,
349,1,Biryani,saffron threads,(loosely packed) (Note 5),tsp
350,2,Biryani,warm water,,tbsp
351,1,Biryani,coriander / cilantro,chopped,cup
352,1/4 cup (60g),Biryani,ghee or unsalted butter,melted (Note 6),
353,,Biryani,Crispy onions,(above),
354,,Biryani,Chopped coriander / cilantro,,
355,,Biryani,Yoghurt,(Note 7),
356,2 tbsp / 30 g,Dal (Indian Lentil Curry),ghee,or 1 tbsp oil + 1 tbsp/15g butter (Note 1),
357,2,Dal (Indian Lentil Curry),green cayenne chillies,deseeded and cut into chunks (optional) (Note 2),
358,1,Dal (Indian Lentil Curry),medium onion,finely chopped (brown or yellow),
359,6,Dal (Indian Lentil Curry),garlic cloves,finely chopped,
360,1,Dal (Indian Lentil Curry),ginger,"finely chopped (1.5cm / 3/5"")",tbsp
361,8,Dal (Indian Lentil Curry),fresh curry leaves,or 6 dried (Note 3),
362,1,Dal (Indian Lentil Curry),tomato,chopped,
363,1/2,Dal (Indian Lentil Curry),ground cumin,,tsp
364,1,Dal (Indian Lentil Curry),dried chana dal,yellow split peas or other yellow lentils (Note 4 for other lentils),cup
365,4 cups / 1 litre ,Dal (Indian Lentil Curry),water,,
366,1/2,Dal (Indian Lentil Curry),turmeric powder,,tsp
367,1/8,Dal (Indian Lentil Curry),garam marsala,,tsp
368,3/4,Dal (Indian Lentil Curry),salt,,tsp
369,1 1/2 tbsp / 20g ,Dal (Indian Lentil Curry),ghee,or half each butter + oil (Note 1),
370,1,Dal (Indian Lentil Curry),eschalot or 1/4 small onion,halved lengthways and sliced (Note 5),
371,1,Dal (Indian Lentil Curry),cumin seeds,,tsp
372,1/2,Dal (Indian Lentil Curry),black mustard seeds,(optional),tsp
373,3,Dal (Indian Lentil Curry),dried chillies,"broken in half, seeds removed (optional)",
374,,Dal (Indian Lentil Curry),Fresh coriander/cilantro sprigs,(optional),
375,,Dal (Indian Lentil Curry),Steamed basmati rice,,
376,600g/ 1.2lb ,Chicken Tikka Masala,chicken thigh,"(boneless, skinless), cut into 3cm / 2.2"" cubes (Note 1)",
377,1/2,Chicken Tikka Masala,"plain yoghurt,",full fat best (Greek is fine),cup
378,6,Chicken Tikka Masala,garlic,minced (~1.5 tbsp),cloves
379,1,Chicken Tikka Masala,fresh ginger,grated,tbsp
