,amount,meal,name,notes,unit
151,1 1/2,Homemade Chicken Doner Kebab recipe,salt,,tsp
152,1,Homemade Chicken Doner Kebab recipe,lemon juice,,tbsp
153,2,Homemade Chicken Doner Kebab recipe,olive oil,,tbsp
154,,Homemade Chicken Doner Kebab recipe,Lebanese bread / flatbreads / pita bread,warmed,
155,,Homemade Chicken Doner Kebab recipe,Finely sliced iceberg lettuce,,
156,,Homemade Chicken Doner Kebab recipe,Tomato slices,,
157,,Homemade Chicken Doner Kebab recipe,Hummus,(or Note 2 for simple Yoghurt Sauce),
158,,Homemade Chicken Doner Kebab recipe,Tabbouleh,"(optional, Note 3)",
159,,Homemade Chicken Doner Kebab recipe,Red onion slices,,
160,,Homemade Chicken Doner Kebab recipe,Grated cheese,,
161,,Homemade Chicken Doner Kebab recipe,Chilli Sauce,"(I use Sriracha, it's perfect)",
162,,Homemade Chicken Doner Kebab recipe,Mejadra,"(Middle Eastern Rice with Lentils), for Kebab Plate",
163,2,Israeli Couscous Salad,olive oil,,tsp
164,1,Israeli Couscous Salad,garlic clove,minced,
165,½,Israeli Couscous Salad,small onion,finely chopped,
166,250 g / 8 oz / 1.5 cups ,Israeli Couscous Salad,Israeli Couscous,(Note 1),
167,1 ½ cups / 375 ml,Israeli Couscous Salad,vegetable or chicken broth,,
168,1 cup / 250 ml,Israeli Couscous Salad,water,,
169,2,Israeli Couscous Salad,cucumbers,diced (about 2 cups),
170,250 g / 8 oz ,Israeli Couscous Salad,cherry tomatoes,halved (about 2 cups),
171,3,Israeli Couscous Salad,baby spinach,finely sliced (Note 2),cups
172,¼,Israeli Couscous Salad,coriander / cilantro,finely chopped (or sub with parsley),cup
173,¼,Israeli Couscous Salad,dill,finely chopped,cup
174,2,Israeli Couscous Salad,lemon zest,,tsp
175,2,Israeli Couscous Salad,lemon juice,,tbsp
176,1/4 cup / 65 ml ,Israeli Couscous Salad,extra virgin olive oil,,
177,1,Israeli Couscous Salad,Dijon mustard,,tsp
178,1,Israeli Couscous Salad,garlic clove,minced,
179,1,Israeli Couscous Salad,sugar,optional,tsp
180,½,Israeli Couscous Salad,salt + black pepper,,tsp
181,2,Healthy Vegetable Soup (Extra Tasty!),olive oil,,tsp
182,1,Healthy Vegetable Soup (Extra Tasty!),onion,finely chopped,
183,2,Healthy Vegetable Soup (Extra Tasty!),garlic cloves,minced,
184,1,Healthy Vegetable Soup (Extra Tasty!),dried oregano,,tbsp
185,2,Healthy Vegetable Soup (Extra Tasty!),fennel seeds,(optional),tsp
186,2,Healthy Vegetable Soup (Extra Tasty!),medium carrots,finely chopped,
187,1,Healthy Vegetable Soup (Extra Tasty!),large celery stalk/rib,finely chopped,
188,2,Healthy Vegetable Soup (Extra Tasty!),red capsicums / bell peppers,cut into 2 cm / 4/5” pieces,
189,5,Healthy Vegetable Soup (Extra Tasty!),cabbage,cut into 3 cm / 1.2” pieces (about 400g/14oz),cups
190,800g / 28 oz ,Healthy Vegetable Soup (Extra Tasty!),crushed tomato,,
191,3 cups (750 ml),Healthy Vegetable Soup (Extra Tasty!),vegetable or chicken broth,(low fat!),
192,1,Healthy Vegetable Soup (Extra Tasty!),smoked paprika,(or any paprika),tbsp
193,1,Healthy Vegetable Soup (Extra Tasty!),cayenne pepper,(adjust spiciness to taste),tsp
194,,Healthy Vegetable Soup (Extra Tasty!),Salt and pepper to taste,,
195,1,Healthy Vegetable Soup (Extra Tasty!),lemon – zest + juice to taste,,
196,,Healthy Vegetable Soup (Extra Tasty!),Finely chopped parsley,,
197,1,Greek Meatballs (Keftedes),"red onion, grated",,
198,500g / 1 lb,Greek Meatballs (Keftedes),beef mince (ground beef) (or lamb!),,
199,200g / 6.5oz,Greek Meatballs (Keftedes),"pork mince (ground pork), or more beef",,
200,2,Greek Meatballs (Keftedes),"garlic cloves, minced",,
201,1 cup / 60g,Greek Meatballs (Keftedes),panko breadcrumbs (or use normal),,
202,1,Greek Meatballs (Keftedes),egg,,
203,1/4,Greek Meatballs (Keftedes),"fresh parsley, finely chopped",,cup
204,6,Greek Meatballs (Keftedes),"large mint leaves, finely chopped (spearmint if you can, it's authentic)",,
205,1/2,Greek Meatballs (Keftedes),dried oregano,,tsp
206,1,Greek Meatballs (Keftedes),extra virgin olive oil,,tbsp
207,3/4,Greek Meatballs (Keftedes),salt,,tsp
208,,Greek Meatballs (Keftedes),Black pepper,,
209,1/2,Greek Meatballs (Keftedes),flour,any white,cup
210,3,Greek Meatballs (Keftedes),olive oil,,tbsp
211,,Greek Meatballs (Keftedes),Finely chopped parsley,"optional, for garnish",
212,,Greek Meatballs (Keftedes),Tzatziki (Note 5) or Greek yoghurt,,
213,1 cup / 200 g ,Greek Lemon Orzo Salad (Risoni),risoni / orzo pasta,,
214,350 g / 12 oz ,Greek Lemon Orzo Salad (Risoni),cherry tomatoes,halved (or 2 large tomatoes),
215,2,Greek Lemon Orzo Salad (Risoni),Lebanese / Persian cucumbers,diced,
216,150 g / 5 oz ,Greek Lemon Orzo Salad (Risoni),firm feta,"cut into 1/2cm/ 1/2"" cubes",
217,1/4 - 1/2,Greek Lemon Orzo Salad (Risoni),red onion,cut into wedges and sliced thinly,
218,1,Greek Lemon Orzo Salad (Risoni),green capsicum/bell pepper,"cut into 3 cm / 2.25"" strips (Note 1)",
219,150 g / 5 oz ,Greek Lemon Orzo Salad (Risoni),whole black olives,seed in (adjust qty to taste),
220,1 1/2,Greek Lemon Orzo Salad (Risoni),dried oregano,,tsp
221,2,Greek Lemon Orzo Salad (Risoni),lemon zest,,tsp
222,3,Greek Lemon Orzo Salad (Risoni),lemon juice,,tbsp
223,5,Greek Lemon Orzo Salad (Risoni),olive oil,,tbsp
224,1,Greek Lemon Orzo Salad (Risoni),Dijon mustard,(or other mild mustard),tsp
225,1,Greek Lemon Orzo Salad (Risoni),garlic clove,minced,
226,1,Greek Lemon Orzo Salad (Risoni),sugar,,tsp
227,1/2,Greek Lemon Orzo Salad (Risoni),salt,,tsp
228,,Greek Lemon Orzo Salad (Risoni),Black pepper,,
229,1/4 cup / 65 ml,Easy Spanish Tapas Recipes,olive oil,,
230,4,Easy Spanish Tapas Recipes,garlic cloves - 3 smashed,1 minced,
231,250 g / 8 oz ,Easy Spanish Tapas Recipes,raw prawns,peeled,
232,,Easy Spanish Tapas Recipes,of red pepper flakes,,Pinch
233,,Easy Spanish Tapas Recipes,Finely chopped parsley,,
234,,Easy Spanish Tapas Recipes,Optional: lemon,,
235,1/4,Easy Spanish Tapas Recipes,olive oil,(65 ml),cup
236,4,Easy Spanish Tapas Recipes,garlic cloves - 3 smashed,1 minced,
237,300 g / 10 oz ,Easy Spanish Tapas Recipes,Swiss brown or other small mushrooms,,
238,,Easy Spanish Tapas Recipes,Finely chopped parsley,,
239,2 (~250g / 8oz),Easy Spanish Tapas Recipes,chorizos,sliced (Note 3) ,
240,1/2,Easy Spanish Tapas Recipes,olive oil,,tsp
241,250 g / 8 oz ,Easy Spanish Tapas Recipes,plump black and green olives,,
242,1,Easy Spanish Tapas Recipes,garlic,minced,clove
243,1/2,Easy Spanish Tapas Recipes,red pepper flakes,,tsp
244,2,Easy Spanish Tapas Recipes,Lemon or orange zest,,tsp
245,1/3,Easy Spanish Tapas Recipes,olive oil,(85 ml),cup
246,1,Easy Spanish Tapas Recipes,fresh rosemary leaves,(or 1/2 tsp dried oregano or 1 tsp fresh thyme),tsp
247,,Easy Spanish Tapas Recipes,Jamon cured ham,,
248,,Easy Spanish Tapas Recipes,Manchego Spanish Cheese,,
249,,Easy Spanish Tapas Recipes,White Anchovies,,
250,,Easy Spanish Tapas Recipes,Spanish Omelette recipe here,,
251,,Easy Spanish Tapas Recipes,Bread,"Olive oil, Lemon wedges",
252,,Easy Spanish Tapas Recipes,La Mesa Y Los Amigos Tempranillo Spanish Wine,(great with tapas!),
253,750 g / 1.5 lb ,Spanish Tortilla (Omelette),potatoes,"(Note 1), peeled and cut into 0.5cm / 1/5"" thick slices",
254,1,Spanish Tortilla (Omelette),onion,sliced,
255,1/2 cup / 125 ml,Spanish Tortilla (Omelette),olive oil,,
256,8,Spanish Tortilla (Omelette),eggs,,
257,,Spanish Tortilla (Omelette),Salt and pepper,,
258,,Spanish Tortilla (Omelette),Fresh parsley,,
259,1.5 lb / 750 g ,Chicken Souvlaki with Tzatziki,chicken thigh fillets,"(or breast), cut into 1""/2.5cm pieces",
260,2,Chicken Souvlaki with Tzatziki,olive oil,,tbsp
261,1/4,Chicken Souvlaki with Tzatziki,lemon juice,,cup
262,3,Chicken Souvlaki with Tzatziki,garlic cloves,minced,
263,2,Chicken Souvlaki with Tzatziki,dried oregano,,tbsp
264,1/2 - 3/4,Chicken Souvlaki with Tzatziki,salt,,tsp
265,,Chicken Souvlaki with Tzatziki,Black pepper,,
266,1,Chicken Souvlaki with Tzatziki,olive oil,,tbsp
267,,Chicken Souvlaki with Tzatziki,Flatbreads / wraps / pita bread,,
268,,Chicken Souvlaki with Tzatziki,Lettuce,,
269,,Chicken Souvlaki with Tzatziki,Tomato slices,,
270,2,Chicken Souvlaki with Tzatziki,Lebanese cucumbers,(to make about ½ cup grated cucumber after squeezing out juice),
271,1 1/4 cups / 300 g ,Chicken Souvlaki with Tzatziki,plain Greek yoghurt,,
272,2,Chicken Souvlaki with Tzatziki,white wine vinegar,(or red wine or apple cider vinegar),tsp
273,1,Chicken Souvlaki with Tzatziki,lemon juice,,tbsp
274,1/2,Chicken Souvlaki with Tzatziki,garlic clove,minced,
275,1,Chicken Souvlaki with Tzatziki,extra virgin olive oil,(or more if you want richer),tbsp
276,1/2,Chicken Souvlaki with Tzatziki,salt,,tsp
277,,Chicken Souvlaki with Tzatziki,Black pepper,,
278,3,Greek Salad,tomatoes,(size of a tennis ball),
279,4,Greek Salad,Lebanese / Persian cucumbers,"(about 8""/20cm long)",
280,1/2,Greek Salad,small red onion,(size of a tennis ball),
281,1,Greek Salad,small green capsicum / bell pepper,,
282, 8 oz / 250 g,Greek Salad,feta block,,
283,5.5 oz / 125g ,Greek Salad,black kalamata olives,(Note 2),
284,1,Greek Salad,dried oregano,,tsp
285,1,Greek Salad,garlic clove,minced (about 1/2 tsp minced garlic),
286,1,Greek Salad,dried oregano,,tsp
287,1/4,Greek Salad,salt,(or 1/2 tsp Kosher salt),tsp
288,,Greek Salad,Freshly ground black pepper,,
289,3,Greek Salad,red wine vinegar,,tbsp
290,6,Greek Salad,extra virgin olive oil,(preferably Greek!),tbsp
291,1 1/2,Greek Lemon Rice,extra virgin oil,(or butter),tbsp
292,1,Greek Lemon Rice,garlic clove,minced,
293,1/2,Greek Lemon Rice,onion,"finely chopped (white, brown, yellow)",
294,1 1/2,Greek Lemon Rice,long grain white rice,uncooked (Note 1),cups
295,1 1/4,Greek Lemon Rice,chicken broth,,cups
296,1,Greek Lemon Rice,water,,cup
297,1,Greek Lemon Rice,large lemon,(1 tsp zest + 3 - 4 tbsp lemon juice),
298,3,Greek Lemon Rice,finely chopped parsley,,tbsp
299,3,Greek Lemon Rice,finely chopped dill,"(or sub with parsley, oregano, basil chives, mint)",tbsp
300,,Greek Lemon Rice,Salt and pepper,,
301,12,Greek Slow Roasted Leg of Lamb,"of garlic, peeled",,cloves
302,7 lb / 3.5 kg,Greek Slow Roasted Leg of Lamb,leg of lamb (Note 1),,
303,,Greek Slow Roasted Leg of Lamb,Salt and pepper,,
304,3,Greek Slow Roasted Leg of Lamb,paprika powder,,tsp
305,3,Greek Slow Roasted Leg of Lamb,garlic powder (or sub with onion powder),,tsp
306,2,Greek Slow Roasted Leg of Lamb,olive oil,,tbsp
307,2,Greek Slow Roasted Leg of Lamb,"large onions, quartered (white, brown, yellow, red)",,
308,10,Greek Slow Roasted Leg of Lamb,sprigs of thyme,,
309,3,Greek Slow Roasted Leg of Lamb,sprigs rosemary,,
310,3,Greek Slow Roasted Leg of Lamb,dried oregano,,tsp
311,3,Greek Slow Roasted Leg of Lamb,dried bayleaves (or 5 fresh),,
312,1/2 cup / 125 ml,Greek Slow Roasted Leg of Lamb,"lemon juice (2 - 3 lemons), plus more to taste",,
313,1 1/2 cups / 375 ml,Greek Slow Roasted Leg of Lamb,"white wine (or sub with chicken broth/stock, low salt)",,
314,2 cups / 500 ml,Greek Slow Roasted Leg of Lamb,chicken broth (liquid chicken stock),,
315,1 lb / 500g ,One Pot Baked Greek Chicken Orzo (Risoni),chicken thighs,"boneless skinless (or breast), cut into2cm / 4/5"" pieces",
316,2,One Pot Baked Greek Chicken Orzo (Risoni),garlic cloves,minced,
317,1,One Pot Baked Greek Chicken Orzo (Risoni),dried oregano,,tbsp
318,1,One Pot Baked Greek Chicken Orzo (Risoni),lemon - zest of the whole lemon and juice of HALF the lemon,,
319,1,One Pot Baked Greek Chicken Orzo (Risoni),olive oil,,tbsp
320,,One Pot Baked Greek Chicken Orzo (Risoni),Salt and pepper,,
321,2,One Pot Baked Greek Chicken Orzo (Risoni),olive oil,,tbsp
322,2,One Pot Baked Greek Chicken Orzo (Risoni),garlic cloves,minced,
323,1,One Pot Baked Greek Chicken Orzo (Risoni),small onion,diced,
324,2,One Pot Baked Greek Chicken Orzo (Risoni),zucchinis,diced,
325,1,One Pot Baked Greek Chicken Orzo (Risoni),red bell pepper/capsicum,sliced,
326,1,One Pot Baked Greek Chicken Orzo (Risoni),dried oregano,,tbsp
327,2 1/2,One Pot Baked Greek Chicken Orzo (Risoni),chicken broth,,cups
328,14 oz / 400g ,One Pot Baked Greek Chicken Orzo (Risoni),canned crushed tomatoes,,
329,2,One Pot Baked Greek Chicken Orzo (Risoni),tomato paste,,tbsp
330,1,One Pot Baked Greek Chicken Orzo (Risoni),orzo/risoni,,cup
331,1,One Pot Baked Greek Chicken Orzo (Risoni),punnet cherry tomatoes,,
332,,One Pot Baked Greek Chicken Orzo (Risoni),Salt and pepper,,
333,,One Pot Baked Greek Chicken Orzo (Risoni),Crumbled feta cheese,,
334,,One Pot Baked Greek Chicken Orzo (Risoni),Fresh oregano leaves,,
335,2,Spanish Romesco Sauce / Dip (capsicum sauce),red capsicum / bell peppers,(Note 1),
336,1,Spanish Romesco Sauce / Dip (capsicum sauce),tomato,,
337,5,Spanish Romesco Sauce / Dip (capsicum sauce),garlic cloves,,
338,3,Spanish Romesco Sauce / Dip (capsicum sauce),extra virgin olive oil,,tbsp
339,2,Spanish Romesco Sauce / Dip (capsicum sauce),white sandwich bread,crusts removed (Note 2),slices
340,1/2,Spanish Romesco Sauce / Dip (capsicum sauce),natural almonds,(Note 3),cup
341,1,Spanish Romesco Sauce / Dip (capsicum sauce),sherry vinegar,(or red or white wine vinegar),tbsp
342,1,Spanish Romesco Sauce / Dip (capsicum sauce),smoked paprika,,tbsp
343,1/4,Spanish Romesco Sauce / Dip (capsicum sauce),cayenne pepper,(optional),tsp
344,1,Spanish Romesco Sauce / Dip (capsicum sauce),salt,,tsp
345,1 - 3,Nando's Peri Peri Chicken Burger,birds eye red chilies,"(1 is mild, 3 is reasonably spicy) (Note 1)",
346,1,Nando's Peri Peri Chicken Burger,large red bell pepper/ capsicum,cut into chunks,
347,5,Nando's Peri Peri Chicken Burger,garlic cloves,,
348,3,Nando's Peri Peri Chicken Burger,vegetable oil,,tbsp
349,4,Nando's Peri Peri Chicken Burger,malt vinegar,or any other plain brown vinegar except not balsamic,tbsp
350,2,Nando's Peri Peri Chicken Burger,paprika,,tbsp
351,1,Nando's Peri Peri Chicken Burger,dried oregano,,tbsp
352,2,Nando's Peri Peri Chicken Burger,onion powder,,tsp
353,1 1/2,Nando's Peri Peri Chicken Burger,white sugar,,tsp
354,1 1/2,Nando's Peri Peri Chicken Burger,salt,,tsp
355,,Nando's Peri Peri Chicken Burger,Black pepper,,
356,,Nando's Peri Peri Chicken Burger,Few drop of red food colouring,(optional),
357,3,Nando's Peri Peri Chicken Burger,Peri Peri Sauce,,tbsp
358,½,Nando's Peri Peri Chicken Burger,whole egg mayonnaise,,cup
359,¼,Nando's Peri Peri Chicken Burger,sour cream,(or yoghurt),cup
360,1,Nando's Peri Peri Chicken Burger,olive oil,,tbsp
361,4,Nando's Peri Peri Chicken Burger,chicken thigh fillets,skinless boneless (each large enough for a burger),
362,4,Nando's Peri Peri Chicken Burger,soft rolls,,
363,2,Nando's Peri Peri Chicken Burger,tomatoes,sliced,
364,,Nando's Peri Peri Chicken Burger,Lettuce of choice,,
365,3,Nando's Peri Peri Chicken Burger,large Sebago potatoes,peeled and each cut into 8 wedges (Note 1),
366,1,Nando's Peri Peri Chicken Burger,onion powder,,tsp
