,amount,meal,name,notes,unit
117,2/3,Pork Meatballs for Banh Mi,jicama,"apple or daikon, grated with a box grater (Note 1)",cup
118,2,Pork Meatballs for Banh Mi,green onions,finely sliced,
119,500 g/ 1lb,Pork Meatballs for Banh Mi,pork mince,(ground pork) (chicken also ok),
120,2,Pork Meatballs for Banh Mi,garlic,finely minced,
121,2,Pork Meatballs for Banh Mi,fish sauce,(or soy),tsp
122,2,Pork Meatballs for Banh Mi,corn starch,,tsp
123,1,Pork Meatballs for Banh Mi,white sugar,,tsp
124,1/2,Pork Meatballs for Banh Mi,black pepper,,tsp
125,1,Pork Meatballs for Banh Mi,cornflour,,tbsp
126,1 1/2,Pork Meatballs for Banh Mi,"chicken stock, low sodium",,cups
127,1/2,Pork Meatballs for Banh Mi,water,,cup
128,1,Pork Meatballs for Banh Mi,fish sauce,,tbsp
129,2,Pork Meatballs for Banh Mi,sugar,,tsp
130,2,Pork Meatballs for Banh Mi,garlic cloves,finely minced,
131,1,Pork Meatballs for Banh Mi,ginger,finely minced,tsp
132,500g / 1lb (3 cups),Caramelised Vietnamese Shredded Beef,leftover cooked brisket or other beef,shredded or chopped (Note 1),
133,1 - 2,Caramelised Vietnamese Shredded Beef,oil,for cooking,tbsp
134,2,Caramelised Vietnamese Shredded Beef,garlic cloves,minced,
135,2,Caramelised Vietnamese Shredded Beef,lime juice,,tbsp
136,2,Caramelised Vietnamese Shredded Beef,fish sauce,,tbsp
137,1,Caramelised Vietnamese Shredded Beef,soy sauce,light or all purpose,tbsp
138,2.5,Caramelised Vietnamese Shredded Beef,(packed) brown sugar,,tbsp
139,1,Caramelised Vietnamese Shredded Beef,vegetable oil,,tbsp
140,1,Caramelised Vietnamese Shredded Beef,lemongrass paste,(Note 2),tbsp
141,,Caramelised Vietnamese Shredded Beef,Rice or noodles,,
142,,Caramelised Vietnamese Shredded Beef,Lime wedges OR Nuoc Cham,(Note 3),
143,,Caramelised Vietnamese Shredded Beef,Fresh coriander/cilantro leaves,and/or finely sliced green onions,
144,,Caramelised Vietnamese Shredded Beef,"Finely sliced red chilli, sliced cucumber, crushed peanuts*",,
145,250 – 300 g/8 – 10 oz ,Bun Cha (Vietnamese Meatballs!),pork mince,(ground pork)(Note 1),
146,1,Bun Cha (Vietnamese Meatballs!),fish sauce,(Note 2),tbsp
147,2,Bun Cha (Vietnamese Meatballs!),white sugar,,tsp
148,1/3,Bun Cha (Vietnamese Meatballs!),finely chopped green onions / scallions,,cup
149,1,Bun Cha (Vietnamese Meatballs!),garlic,minced,clove
150,,Bun Cha (Vietnamese Meatballs!),of white pepper and salt,,Pinch
151,2,Bun Cha (Vietnamese Meatballs!),lemongrass paste or fresh finely chopped,optional (Note 4),tsp
152,1 1/2,Bun Cha (Vietnamese Meatballs!),oil,for cooking,tbsp
153,3,Bun Cha (Vietnamese Meatballs!),white sugar,,tbsp
154,3,Bun Cha (Vietnamese Meatballs!),fish sauce,(Note 2),tbsp
155,2,Bun Cha (Vietnamese Meatballs!),rice wine vinegar,,tbsp
156,2,Bun Cha (Vietnamese Meatballs!),lime juice,,tbsp
157,1/3,Bun Cha (Vietnamese Meatballs!),water,,cup
158,1,Bun Cha (Vietnamese Meatballs!),birds eye chilli,seeded and finely chopped (Note 3),
159,3,Bun Cha (Vietnamese Meatballs!),garlic,finely chopped,cloves
160,100 g / 3.5 oz,Bun Cha (Vietnamese Meatballs!),vermicelli noodles,dried,
161,,Bun Cha (Vietnamese Meatballs!),Big handful beansprouts,,
162,,Bun Cha (Vietnamese Meatballs!),Few lettuce leaves,folded or shredded,
163,,Bun Cha (Vietnamese Meatballs!),Julienned carrot and white radish,"(daikon), optional quick pickle (Note 5)",
164,,Bun Cha (Vietnamese Meatballs!),Handful of coriander/cilantro sprigs,mint,
165,,Bun Cha (Vietnamese Meatballs!),Sliced red chilli,lime wedges (optional),
166,4 large / 5 small ,Vietnamese Coconut Caramel Chicken,chicken thighs,bone in skin on (Note 1),
167,1/2 cup / 80 g ,Vietnamese Coconut Caramel Chicken,brown sugar,loosely packed,
168,1,Vietnamese Coconut Caramel Chicken,water,,tbsp
169,400 g / 14 oz ,Vietnamese Coconut Caramel Chicken,coconut milk,low fat (1 can) (Note 2),
170,1 1/2,Vietnamese Coconut Caramel Chicken,fish sauce,(Note 3),tbsp
171,2 1/2,Vietnamese Coconut Caramel Chicken,rice vinegar,(or cider vinegar),tbsp
172,2,Vietnamese Coconut Caramel Chicken,garlic cloves,minced,
173,1,Vietnamese Coconut Caramel Chicken,eschallot / French onion,finely sliced (Note 4),
174,1/4,Vietnamese Coconut Caramel Chicken,white pepper,(or black),tsp
175,1,Vietnamese Coconut Caramel Chicken,shallot,finely sliced (green onion / scallion),
176,1,Vietnamese Coconut Caramel Chicken,large red chilli,finely sliced,
177,1/2 cup / 100g,Vietnamese Caramel Pork,"brown sugar, tightly packed",,
178,1,Vietnamese Caramel Pork,water,,tbsp
179,1 kg / 2 lb ,Vietnamese Caramel Pork,pork shoulder,"(butt) or boneless skinless pork belly, cut into 3 cm / 1.2"" pieces (Note 1a)",
180,1.5 cups / 375 ml ,Vietnamese Caramel Pork,coconut water,(Note 1b),
181,1,Vietnamese Caramel Pork,eschallot / shallot,very finely sliced (Note 2),
182,2,Vietnamese Caramel Pork,garlic cloves,minced,
183,1 1/2,Vietnamese Caramel Pork,fish sauce,,tbsp
184,1/4,Vietnamese Caramel Pork,white pepper,,tsp
185,,Vietnamese Caramel Pork,Red chilli and finely sliced shallots/green onions,,
186,7 - 14,Vietnamese Rice Paper Rolls,"sheets of 22cm/8.5"" round rice paper (Note 1)",,
187,11,Vietnamese Rice Paper Rolls,"small cooked prawns/shrimp (about 12cm/5"" in length, unpeeled including the head)",,
188,50g / 1.5 oz,Vietnamese Rice Paper Rolls,dried vermicelli noodles,,
189,7,Vietnamese Rice Paper Rolls,"lettuce leaves - use a lettuce with soft leaves, like Oak or Butter Lettuce (Note 2)",,
190,14,Vietnamese Rice Paper Rolls,mint leaves,,
191,1,Vietnamese Rice Paper Rolls,bean sprouts,,cup
192,1,Vietnamese Rice Paper Rolls,"peanut butter, preferably smooth ",(crunchy is ok too),tbsp
193,2,Vietnamese Rice Paper Rolls,Hoisin Sauce,,tbsp
194,1 1/2,Vietnamese Rice Paper Rolls,white vinegar (or lime juice),,tbsp
195,1/3,Vietnamese Rice Paper Rolls,milk,(any fat %) (or water),cup
196,1,Vietnamese Rice Paper Rolls,"garlic clove, minced",,
197,1/2,Vietnamese Rice Paper Rolls,"crushed chilli, samba oelak or other chilli paste, adjust to taste (optional)",,tsp
198,12 - 15,Vietnamese Noodle Salad with Shrimp (Prawn),medium shrimp,"(prawns), shelled and deveined (about 5 - 7 oz / 150 - 200g, excluding shells)",
199,1,Vietnamese Noodle Salad with Shrimp (Prawn),olive oil,,tbsp
200,2,Vietnamese Noodle Salad with Shrimp (Prawn),garlic cloves,minced,
201,,Vietnamese Noodle Salad with Shrimp (Prawn),of salt and pepper,,Pinch
202,1/4,Vietnamese Noodle Salad with Shrimp (Prawn),lime juice,,cup
203,1/4,Vietnamese Noodle Salad with Shrimp (Prawn),fish sauce,,cup
204,2,Vietnamese Noodle Salad with Shrimp (Prawn),rice vinegar,,tbsp
205,1,Vietnamese Noodle Salad with Shrimp (Prawn),caster sugar,,tbsp
206,1,Vietnamese Noodle Salad with Shrimp (Prawn),large garlic clove,very finely chopped,
207,1,Vietnamese Noodle Salad with Shrimp (Prawn),very finely chopped red chili,adjust to taste (I use birds eye which is spicy),tsp
208,2.5 oz / 75g ,Vietnamese Noodle Salad with Shrimp (Prawn),dried rice vermicelli noodles,(Note 1),
209,3,Vietnamese Noodle Salad with Shrimp (Prawn),iceberg lettuce,shredded,cups
210,1,Vietnamese Noodle Salad with Shrimp (Prawn),carrot,cut into fine matchsticks,cup
211,1 1/2,Vietnamese Noodle Salad with Shrimp (Prawn),cucumber,cut into matchsticks,cups
212,1 1/2,Vietnamese Noodle Salad with Shrimp (Prawn),beansprouts,,cups
213,1/4,Vietnamese Noodle Salad with Shrimp (Prawn),coriander leaves,lightly packed,cup
214,1/4,Vietnamese Noodle Salad with Shrimp (Prawn),mint leaves,"(ordinary or Vietnamese), lightly packed",cup
215,4,Vietnamese Pork Chop,pork cutlets,around 250g - 300g (8oz - 10oz) each,
216,1,Vietnamese Pork Chop,vegetable or peanut oil,(for cooking),tbsp
217,1,Vietnamese Pork Chop,chilli sauce,"(sriracha, chilli paste) or 1 birds eye chilli, finely chopped",tsp
218,2,Vietnamese Pork Chop,minced garlic,,cloves
219,,Vietnamese Pork Chop,Juice of 1 lime,,
220,2,Vietnamese Pork Chop,fish sauce,,tbsp
221,1,Vietnamese Pork Chop,soy sauce,,tbsp
222,1 1/2,Vietnamese Pork Chop,brown sugar,,tbsp
223,1,Vietnamese Pork Chop,stalk lemongrass,"white part only, bruised them sliced into 1cm/0.5"" pieces",
224,2 lb / 1 kg ,Grilled Vietnamese Chicken Wings,chicken wings,cut into wingettes and drumettes,
225,,Grilled Vietnamese Chicken Wings,Oil for grilling,,
226,4,Grilled Vietnamese Chicken Wings,minced garlic,,cloves
227,1/4,Grilled Vietnamese Chicken Wings,lime juice,(2 to 3 limes),cup
228,1/4,Grilled Vietnamese Chicken Wings,fish sauce,,cup
229,2,Grilled Vietnamese Chicken Wings,soy sauce,,tbsp
230,3,Grilled Vietnamese Chicken Wings,brown sugar,,tbsp
231,2,Grilled Vietnamese Chicken Wings,vegetable oil,,tbsp
232,2,Grilled Vietnamese Chicken Wings,stalks lemongrass,,
233,1,Grilled Vietnamese Chicken Wings,birds eye chilli,finely chopped,
234,,Grilled Vietnamese Chicken Wings,Coriander leaves,,
235,500 g / 1 lbs ,Vegetarian Vietnamese Noodle Bowl (Vegan),firm tofu,"sliced into 1/4""/0.5cm slices",
236,2,Vegetarian Vietnamese Noodle Bowl (Vegan),minced garlic,,cloves
237,2,Vegetarian Vietnamese Noodle Bowl (Vegan),lime juice,(about 1 fresh lime),tbsp
238,1,Vegetarian Vietnamese Noodle Bowl (Vegan),light soy sauce,,tbsp
239,1,Vegetarian Vietnamese Noodle Bowl (Vegan),soy sauce,,tbsp
240,2,Vegetarian Vietnamese Noodle Bowl (Vegan),brown sugar,,tbsp
241,1,Vegetarian Vietnamese Noodle Bowl (Vegan),vegetable oil,,tbsp
242,1,Vegetarian Vietnamese Noodle Bowl (Vegan),stalk lemongrass,"white part only, finely chopped",
243,3,Vegetarian Vietnamese Noodle Bowl (Vegan),light soy sauce,,tbsp
244,1⁄4 ,Vegetarian Vietnamese Noodle Bowl (Vegan),rice vinegar,,cup 
245,2,Vegetarian Vietnamese Noodle Bowl (Vegan),white sugar,,tbsp
246,1⁄2 ,Vegetarian Vietnamese Noodle Bowl (Vegan),water,,cup
247,2,Vegetarian Vietnamese Noodle Bowl (Vegan),garlic cloves,finely chopped,
248,1,Vegetarian Vietnamese Noodle Bowl (Vegan),red birdseye chilli,finely chopped (or adjust quantity to your taste),
249,3,Vegetarian Vietnamese Noodle Bowl (Vegan),lime juice,,tbsp
250,200,Vegetarian Vietnamese Noodle Bowl (Vegan),medium rice stick noodles,,g
251,2,Vegetarian Vietnamese Noodle Bowl (Vegan),carrots,julienned,
252,1,Vegetarian Vietnamese Noodle Bowl (Vegan),large cucumber julienned,(with seeds removed),
253,3,Vegetarian Vietnamese Noodle Bowl (Vegan),shredded lettuce,,cups
254,2,Vegetarian Vietnamese Noodle Bowl (Vegan),bean sprouts,,cups
255,,Vegetarian Vietnamese Noodle Bowl (Vegan),Handful of mint leaves,,
256,,Vegetarian Vietnamese Noodle Bowl (Vegan),Handful of cilantro/coriander,,
257,,Vegetarian Vietnamese Noodle Bowl (Vegan),Sliced chili,(for garnish - optional),
