meal,servings,name,amount,unit,notes
Greek Lemon Orzo Salad (Risoni),6,Dijon mustard,1,tsp,(or other mild mustard)
Greek Lemon Orzo Salad (Risoni),6,garlic clove,1,,minced
Greek Lemon Orzo Salad (Risoni),6,sugar,1,tsp,
Greek Lemon Orzo Salad (Risoni),6,salt,1/2,tsp,
Greek Lemon Orzo Salad (Risoni),6,Black pepper,,,
Easy Spanish Tapas Recipes,6,olive oil,1/4 cup / 65 ml,,
Easy Spanish Tapas Recipes,6,garlic cloves - 3 smashed,4,,1 minced
Easy Spanish Tapas Recipes,6,raw prawns,250 g / 8 oz ,,peeled
Easy Spanish Tapas Recipes,6,of red pepper flakes,,Pinch,
Easy Spanish Tapas Recipes,6,Finely chopped parsley,,,
Easy Spanish Tapas Recipes,6,Optional: lemon,,,
Easy Spanish Tapas Recipes,6,olive oil,1/4,cup,(65 ml)
Easy Spanish Tapas Recipes,6,garlic cloves - 3 smashed,4,,1 minced
Easy Spanish Tapas Recipes,6,Swiss brown or other small mushrooms,300 g / 10 oz ,,
Easy Spanish Tapas Recipes,6,Finely chopped parsley,,,
Easy Spanish Tapas Recipes,6,chorizos,2 (~250g / 8oz),,sliced (Note 3) 
Easy Spanish Tapas Recipes,6,olive oil,1/2,tsp,
Easy Spanish Tapas Recipes,6,plump black and green olives,250 g / 8 oz ,,
Easy Spanish Tapas Recipes,6,garlic,1,clove,minced
Easy Spanish Tapas Recipes,6,red pepper flakes,1/2,tsp,
Easy Spanish Tapas Recipes,6,Lemon or orange zest,2,tsp,
Easy Spanish Tapas Recipes,6,olive oil,1/3,cup,(85 ml)
Easy Spanish Tapas Recipes,6,fresh rosemary leaves,1,tsp,(or 1/2 tsp dried oregano or 1 tsp fresh thyme)
Easy Spanish Tapas Recipes,6,Jamon cured ham,,,
Easy Spanish Tapas Recipes,6,Manchego Spanish Cheese,,,
Easy Spanish Tapas Recipes,6,White Anchovies,,,
Easy Spanish Tapas Recipes,6,Spanish Omelette recipe here,,,
Easy Spanish Tapas Recipes,6,Bread,,,"Olive oil, Lemon wedges"
Easy Spanish Tapas Recipes,6,La Mesa Y Los Amigos Tempranillo Spanish Wine,,,(great with tapas!)
Spanish Tortilla (Omelette),6,potatoes,750 g / 1.5 lb ,,"(Note 1), peeled and cut into 0.5cm / 1/5"" thick slices"
Spanish Tortilla (Omelette),6,onion,1,,sliced
Spanish Tortilla (Omelette),6,olive oil,1/2 cup / 125 ml,,
Spanish Tortilla (Omelette),6,eggs,8,,
Spanish Tortilla (Omelette),6,Salt and pepper,,,
Spanish Tortilla (Omelette),6,Fresh parsley,,,
Chicken Souvlaki with Tzatziki,4,chicken thigh fillets,1.5 lb / 750 g ,,"(or breast), cut into 1""/2.5cm pieces"
Chicken Souvlaki with Tzatziki,4,olive oil,2,tbsp,
Chicken Souvlaki with Tzatziki,4,lemon juice,1/4,cup,
Chicken Souvlaki with Tzatziki,4,garlic cloves,3,,minced
Chicken Souvlaki with Tzatziki,4,dried oregano,2,tbsp,
Chicken Souvlaki with Tzatziki,4,salt,1/2 - 3/4,tsp,
Chicken Souvlaki with Tzatziki,4,Black pepper,,,
Chicken Souvlaki with Tzatziki,4,olive oil,1,tbsp,
Chicken Souvlaki with Tzatziki,4,Flatbreads / wraps / pita bread,,,
Chicken Souvlaki with Tzatziki,4,Lettuce,,,
Chicken Souvlaki with Tzatziki,4,Tomato slices,,,
Chicken Souvlaki with Tzatziki,4,Lebanese cucumbers,2,,(to make about ½ cup grated cucumber after squeezing out juice)
Chicken Souvlaki with Tzatziki,4,plain Greek yoghurt,1 1/4 cups / 300 g ,,
Chicken Souvlaki with Tzatziki,4,white wine vinegar,2,tsp,(or red wine or apple cider vinegar)
Chicken Souvlaki with Tzatziki,4,lemon juice,1,tbsp,
Chicken Souvlaki with Tzatziki,4,garlic clove,1/2,,minced
Chicken Souvlaki with Tzatziki,4,extra virgin olive oil,1,tbsp,(or more if you want richer)
Chicken Souvlaki with Tzatziki,4,salt,1/2,tsp,
Chicken Souvlaki with Tzatziki,4,Black pepper,,,
Greek Salad,4,tomatoes,3,,(size of a tennis ball)
Greek Salad,4,Lebanese / Persian cucumbers,4,,"(about 8""/20cm long)"
Greek Salad,4,small red onion,1/2,,(size of a tennis ball)
Greek Salad,4,small green capsicum / bell pepper,1,,
Greek Salad,4,feta block, 8 oz / 250 g,,
Greek Salad,4,black kalamata olives,5.5 oz / 125g ,,(Note 2)
Greek Salad,4,dried oregano,1,tsp,
Greek Salad,4,garlic clove,1,,minced (about 1/2 tsp minced garlic)
Greek Salad,4,dried oregano,1,tsp,
Greek Salad,4,salt,1/4,tsp,(or 1/2 tsp Kosher salt)
Greek Salad,4,Freshly ground black pepper,,,
Greek Salad,4,red wine vinegar,3,tbsp,
Greek Salad,4,extra virgin olive oil,6,tbsp,(preferably Greek!)
Greek Lemon Rice,5,extra virgin oil,1 1/2,tbsp,(or butter)
Greek Lemon Rice,5,garlic clove,1,,minced
Greek Lemon Rice,5,onion,1/2,,"finely chopped (white, brown, yellow)"
Greek Lemon Rice,5,long grain white rice,1 1/2,cups,uncooked (Note 1)
Greek Lemon Rice,5,chicken broth,1 1/4,cups,
Greek Lemon Rice,5,water,1,cup,
Greek Lemon Rice,5,large lemon,1,,(1 tsp zest + 3 - 4 tbsp lemon juice)
Greek Lemon Rice,5,finely chopped parsley,3,tbsp,
Greek Lemon Rice,5,finely chopped dill,3,tbsp,"(or sub with parsley, oregano, basil chives, mint)"
Greek Lemon Rice,5,Salt and pepper,,,
Greek Slow Roasted Leg of Lamb,8,"of garlic, peeled",12,cloves,
Greek Slow Roasted Leg of Lamb,8,leg of lamb (Note 1),7 lb / 3.5 kg,,
Greek Slow Roasted Leg of Lamb,8,Salt and pepper,,,
Greek Slow Roasted Leg of Lamb,8,paprika powder,3,tsp,
Greek Slow Roasted Leg of Lamb,8,garlic powder (or sub with onion powder),3,tsp,
Greek Slow Roasted Leg of Lamb,8,olive oil,2,tbsp,
Greek Slow Roasted Leg of Lamb,8,"large onions, quartered (white, brown, yellow, red)",2,,
Greek Slow Roasted Leg of Lamb,8,sprigs of thyme,10,,
Greek Slow Roasted Leg of Lamb,8,sprigs rosemary,3,,
Greek Slow Roasted Leg of Lamb,8,dried oregano,3,tsp,
Greek Slow Roasted Leg of Lamb,8,dried bayleaves (or 5 fresh),3,,
Greek Slow Roasted Leg of Lamb,8,"lemon juice (2 - 3 lemons), plus more to taste",1/2 cup / 125 ml,,
Greek Slow Roasted Leg of Lamb,8,"white wine (or sub with chicken broth/stock, low salt)",1 1/2 cups / 375 ml,,
Greek Slow Roasted Leg of Lamb,8,chicken broth (liquid chicken stock),2 cups / 500 ml,,
One Pot Baked Greek Chicken Orzo (Risoni),4,chicken thighs,1 lb / 500g ,,"boneless skinless (or breast), cut into2cm / 4/5"" pieces"
One Pot Baked Greek Chicken Orzo (Risoni),4,garlic cloves,2,,minced
One Pot Baked Greek Chicken Orzo (Risoni),4,dried oregano,1,tbsp,
One Pot Baked Greek Chicken Orzo (Risoni),4,lemon - zest of the whole lemon and juice of HALF the lemon,1,,
One Pot Baked Greek Chicken Orzo (Risoni),4,olive oil,1,tbsp,
One Pot Baked Greek Chicken Orzo (Risoni),4,Salt and pepper,,,
One Pot Baked Greek Chicken Orzo (Risoni),4,olive oil,2,tbsp,
One Pot Baked Greek Chicken Orzo (Risoni),4,garlic cloves,2,,minced
One Pot Baked Greek Chicken Orzo (Risoni),4,small onion,1,,diced
One Pot Baked Greek Chicken Orzo (Risoni),4,zucchinis,2,,diced
One Pot Baked Greek Chicken Orzo (Risoni),4,red bell pepper/capsicum,1,,sliced
One Pot Baked Greek Chicken Orzo (Risoni),4,dried oregano,1,tbsp,
One Pot Baked Greek Chicken Orzo (Risoni),4,chicken broth,2 1/2,cups,
One Pot Baked Greek Chicken Orzo (Risoni),4,canned crushed tomatoes,14 oz / 400g ,,
One Pot Baked Greek Chicken Orzo (Risoni),4,tomato paste,2,tbsp,
One Pot Baked Greek Chicken Orzo (Risoni),4,orzo/risoni,1,cup,
One Pot Baked Greek Chicken Orzo (Risoni),4,punnet cherry tomatoes,1,,
One Pot Baked Greek Chicken Orzo (Risoni),4,Salt and pepper,,,
One Pot Baked Greek Chicken Orzo (Risoni),4,Crumbled feta cheese,,,
One Pot Baked Greek Chicken Orzo (Risoni),4,Fresh oregano leaves,,,
Spanish Romesco Sauce / Dip (capsicum sauce),2,red capsicum / bell peppers,2,,(Note 1)
Spanish Romesco Sauce / Dip (capsicum sauce),2,tomato,1,,
Spanish Romesco Sauce / Dip (capsicum sauce),2,garlic cloves,5,,
Spanish Romesco Sauce / Dip (capsicum sauce),2,extra virgin olive oil,3,tbsp,
Spanish Romesco Sauce / Dip (capsicum sauce),2,white sandwich bread,2,slices,crusts removed (Note 2)
Spanish Romesco Sauce / Dip (capsicum sauce),2,natural almonds,1/2,cup,(Note 3)
Spanish Romesco Sauce / Dip (capsicum sauce),2,sherry vinegar,1,tbsp,(or red or white wine vinegar)
Spanish Romesco Sauce / Dip (capsicum sauce),2,smoked paprika,1,tbsp,
Spanish Romesco Sauce / Dip (capsicum sauce),2,cayenne pepper,1/4,tsp,(optional)
Spanish Romesco Sauce / Dip (capsicum sauce),2,salt,1,tsp,
Nando's Peri Peri Chicken Burger,4,birds eye red chilies,1 - 3,,"(1 is mild, 3 is reasonably spicy) (Note 1)"
Nando's Peri Peri Chicken Burger,4,large red bell pepper/ capsicum,1,,cut into chunks
Nando's Peri Peri Chicken Burger,4,garlic cloves,5,,
Nando's Peri Peri Chicken Burger,4,vegetable oil,3,tbsp,
Nando's Peri Peri Chicken Burger,4,malt vinegar,4,tbsp,or any other plain brown vinegar except not balsamic
Nando's Peri Peri Chicken Burger,4,paprika,2,tbsp,
Nando's Peri Peri Chicken Burger,4,dried oregano,1,tbsp,
Nando's Peri Peri Chicken Burger,4,onion powder,2,tsp,
Nando's Peri Peri Chicken Burger,4,white sugar,1 1/2,tsp,
Nando's Peri Peri Chicken Burger,4,salt,1 1/2,tsp,
Nando's Peri Peri Chicken Burger,4,Black pepper,,,
Nando's Peri Peri Chicken Burger,4,Few drop of red food colouring,,,(optional)
Nando's Peri Peri Chicken Burger,4,Peri Peri Sauce,3,tbsp,
Nando's Peri Peri Chicken Burger,4,whole egg mayonnaise,½,cup,
Nando's Peri Peri Chicken Burger,4,sour cream,¼,cup,(or yoghurt)
Nando's Peri Peri Chicken Burger,4,olive oil,1,tbsp,
Nando's Peri Peri Chicken Burger,4,chicken thigh fillets,4,,skinless boneless (each large enough for a burger)
Nando's Peri Peri Chicken Burger,4,soft rolls,4,,
Nando's Peri Peri Chicken Burger,4,tomatoes,2,,sliced
