meal,servings,name,amount,unit,notes
Prawn (Shrimp) Stir Fry,3,bunches broccolini,1 1/2,,"trimmed, cut into 5cm / 2"" lengths, (~1 1/2 cups. Sub normal broccoli)"
Prawn (Shrimp) Stir Fry,3,snow peas,120g / 4 oz,,thin string removed from both sides
Spicy Joint's Creamy Sesame Sauce Lettuce Salad,3,Chinese sesame paste,2,tbsp,(Note 1)
Spicy Joint's Creamy Sesame Sauce Lettuce Salad,3,peanut butter,1/2,tbsp,(Note 2)
Spicy Joint's Creamy Sesame Sauce Lettuce Salad,3,white sugar,1/2,tsp,
Spicy Joint's Creamy Sesame Sauce Lettuce Salad,3,salt,1/4,tsp,
Spicy Joint's Creamy Sesame Sauce Lettuce Salad,3,oyster sauce,1/2,tbsp,(Note 3)
Spicy Joint's Creamy Sesame Sauce Lettuce Salad,3,sesame oil,1,tbsp,"toasted (ie brown, not yellow)"
Spicy Joint's Creamy Sesame Sauce Lettuce Salad,3,dark soy sauce,1/4,tsp,(Note 4)
Spicy Joint's Creamy Sesame Sauce Lettuce Salad,3,water,3-4,tbsp,(or more)
Spicy Joint's Creamy Sesame Sauce Lettuce Salad,3,"baby cos lettuce or for authentic, equivalent amount of Chinese lettuce (celtuce)",2,,trimmed (Note 5 for subs)
Spicy Joint's Creamy Sesame Sauce Lettuce Salad,3,sesame seeds for garnish,,,"(black, ideally for the colour, but white or roasted are fine)"
Char Siu Pork (Chinese BBQ Pork),6,brown sugar,1 1/2,tbsp,(white also ok)
Char Siu Pork (Chinese BBQ Pork),6,honey,1/4,cup,
Char Siu Pork (Chinese BBQ Pork),6,hoisin sauce,1/4,cup,
Char Siu Pork (Chinese BBQ Pork),6,light soy sauce,2,tbsp,or all purpose soy (Note 1)
Char Siu Pork (Chinese BBQ Pork),6,soy sauce,1,tbsp,just all purpose (or more light soy) (Note 1)
Char Siu Pork (Chinese BBQ Pork),6,Chinese five spice powder,1,tsp,(Note 2)
Char Siu Pork (Chinese BBQ Pork),6,oil,1,tbsp,(vegetable or canola) (Note 3)
Char Siu Pork (Chinese BBQ Pork),6,red food colouring,2,tsp,optional (Note 4)
Char Siu Pork (Chinese BBQ Pork),6,"pork scotch fillet (aka collar neck, pork neck) OR pork shoulder",1.2 – 1.5kg / 2.4 – 3lb,,(Note 5)
Char Siu Pork (Chinese BBQ Pork),6,Extra Honey,2,tbsp,
General Tso's Chicken,4,soy sauce - light or all-purpose,3,tbsp,"(NOT dark soy, Note 1)"
General Tso's Chicken,4,hoisin sauce,1,tbsp,
General Tso's Chicken,4,rice vinegar,1,tbsp,(sub white wine vinegar)
General Tso's Chicken,4,chilli paste,2,tsp,any (Sambal Oelak is great)
General Tso's Chicken,4,sesame oil,1,tsp,toasted preferably (Note 6)
General Tso's Chicken,4,brown sugar,3,tbsp,
General Tso's Chicken,4,cornflour/cornstarch,1,tbsp,
General Tso's Chicken,4,chicken stock/broth,3/4,cup,low sodium
General Tso's Chicken,4,chicken thighs,600g/ 1.4 lb,,"boneless skinless, cut into 2.5cm / 1"" pieces (breast / tenderloin - Note 2)"
General Tso's Chicken,4,ginger,1,tsp,finely grated
General Tso's Chicken,4,garlic,1,tsp,finely grated
General Tso's Chicken,4,cornflour/cornstarch,1,cup,(Note 5)
General Tso's Chicken,4,"oil, for frying",1 - 4 cups,,"(peanut, vegetable or canola; Note 4)"
General Tso's Chicken,4,oil,2,tbsp,"(peanut, vegetable or canola)"
General Tso's Chicken,4,ginger,2,tsp,finely chopped (Note 3)
General Tso's Chicken,4,garlic,2,cloves,finely chopped (Note 3)
General Tso's Chicken,4,red chilli flakes,1/2,teaspoon,(red pepper flakes)
General Tso's Chicken,4,Finely sliced green onion,,,
General Tso's Chicken,4,Sesame seeds,,,
Chinese Rice Soup - quick and easy,3,"chicken stock/broth, low sodium",1 litre / 32 oz,,(Note 1)
Chinese Rice Soup - quick and easy,3,water,1,cup,
Chinese Rice Soup - quick and easy,3,garlic cloves,2,,smashed (Note 2)
Chinese Rice Soup - quick and easy,3,"ginger piece, ","1.5 cm / 1/2""",,cut into 3 slices
Chinese Rice Soup - quick and easy,3,light soy sauce,1 1/2,tbsp,or normal all purpose soy sauce (Note 3)
Chinese Rice Soup - quick and easy,3,Chinese cooking wine,1 1/2,tbsp,key ingredient (Note 4 subs)
Chinese Rice Soup - quick and easy,3,sesame oil,1/4 - 1/2,tsp,toasted (optional) (Note 5)
Chinese Rice Soup - quick and easy,3,white pepper,1/4,tsp,"(sub black, can omit)"
Chinese Rice Soup - quick and easy,3,uncooked white rice,3/4 cup,,"- long grain, medium grain, short grain, jasmine (Note 6)"
Chinese Rice Soup - quick and easy,3,choy sum ,3,stems,"cut into 2cm / 1"" lengths, stems separated from leaves (Note 8)"
Chinese Rice Soup - quick and easy,3,white fish fillets,250g / 8 oz,,"cut into 2.5cm / 1"" cubes (Note 8)"
Chinese Rice Soup - quick and easy,3,green onion,1,,finely sliced
Chinese Rice Soup - quick and easy,3,Crispy fried shallots,,,(Note 9)
Chinese Rice Soup - quick and easy,3,Crunchy fried noodles,,,pictured in post (Note 9)
Chinese Rice Soup - quick and easy,3,Chilli oil or paste,,,
Mongolian Lamb,4,"lamb meat (backstrap/fillet, mid loin chops,  shoulder - or any cut in Note 1)",350g / 12 oz,,"thinly sliced 2 - 3 mm / 1/10"" (boneless weight, fat trimmed)"
Mongolian Lamb,4,baking soda,1/2,tsp,"(bicarb soda) (tenderiser, Note 2)"
Mongolian Lamb,4,cornflour / cornstarch,1,tsp,
Mongolian Lamb,4,light soy sauce,1,tbsp,"(or all purpose, Note 3)"
Mongolian Lamb,4,Chinese cooking wine,1,tbsp,(Note 4 subs)
Mongolian Lamb,4,cornflour / cornstarch,3,tsp,
Mongolian Lamb,4,dark soy sauce,2,tsp,(Note 3)
Mongolian Lamb,4,light soy sauce,1,tsp,"(or all purpose, Note 3)"
Mongolian Lamb,4,Sambal Oelak or other chilli paste,1 1/2,tsp,(or omit for no spice)
Mongolian Lamb,4,hoisin sauce,3,tbsp,(I used Lee Kum Kee brand)
Mongolian Lamb,4,Chinese cooking wine,2,tbsp,(Note 4 subs)
Mongolian Lamb,4,Chinese five spice powder,1/4,tsp,(Note 5)
Mongolian Lamb,4,water,3/4,cup,
Mongolian Lamb,4,sesame oil,1,tsp,toasted (Note 6)
Mongolian Lamb,4,vegetable oil,2,tbsp,(or canola or peanut)
Mongolian Lamb,4,large onion,1,,"cut into large 2.5cm / 1"" squares"
Mongolian Lamb,4,garlic,2,cloves,finely chopped
Mongolian Lamb,4,green onions,4,,"cut into 5cm/2"" lengths"
Honey Chicken - STAYS CRISPY for hours!,4,chicken thighs,300g/ 10oz,,"skinless boneless, cut into 2.5cm/1"" pieces (Note 1)"
Honey Chicken - STAYS CRISPY for hours!,4,light soy sauce,1,tbsp,"(or all purpose, NOT dark soy)"
Honey Chicken - STAYS CRISPY for hours!,4,Chinese cooking wine,2,tsp,(sub with soy)
Honey Chicken - STAYS CRISPY for hours!,4,cornflour/cornstarch,2,tsp,
Honey Chicken - STAYS CRISPY for hours!,4,cornflour/cornstarch,1/2,cup,
Honey Chicken - STAYS CRISPY for hours!,4,cornflour/cornstarch,6,tbsp,(Note 8)
Honey Chicken - STAYS CRISPY for hours!,4,flour,4,tbsp,plain/all purpose
Honey Chicken - STAYS CRISPY for hours!,4,"COLD soda water, club soda or seltzer water",7 - 8,tbsp,"(NOT sparkling mineral water, Note 2)"
Honey Chicken - STAYS CRISPY for hours!,4,baking powder,1/4,tsp,(NOT baking soda)
Honey Chicken - STAYS CRISPY for hours!,4,salt,1/4,tsp,kosher/cooking (halve for table salt)
Honey Chicken - STAYS CRISPY for hours!,4,vegetable oil,2 - 3,cups,(or canola)
Honey Chicken - STAYS CRISPY for hours!,4,honey,1/3 cup (100g),,
Honey Chicken - STAYS CRISPY for hours!,4,glucose OR corn syrup (light),1.5 tbsp (25g),,(Note 6)
Honey Chicken - STAYS CRISPY for hours!,4,light soy sauce,1,tbsp,(or all purpose)
Honey Chicken - STAYS CRISPY for hours!,4,Chinese cooking wine,2,tsp,(or more soy sauce)
Honey Chicken - STAYS CRISPY for hours!,4,Vermicelli rice noodles (optional),25g / 2 oz,,"a wad of it (not bean noodles, must be rice noodles)"
Honey Chicken - STAYS CRISPY for hours!,4,"Sesame seeds, finely sliced green onions",,,
Sweet and Sour Pork - best ever!,5,"pork scotch roast (aka pork neck, collar butt) or shoulder / butt,",400g/14oz,,"cut into 2cm / 4/5"" cubes (Note 1)"
Sweet and Sour Pork - best ever!,5,onion,1/2,,finely grated (Note 2a)
Sweet and Sour Pork - best ever!,5,garlic,1,tsp,finely grated (Note 2a)
Sweet and Sour Pork - best ever!,5,ginger,1,tsp,finely grated (Note 2a)
Sweet and Sour Pork - best ever!,5,baking soda (bi-carb),3/8,tsp,(Note 2b)
Sweet and Sour Pork - best ever!,5,cornflour/cornstarch,2,tsp,
Sweet and Sour Pork - best ever!,5,light soy sauce,2,tbsp,or all purpose (Note 3)
Sweet and Sour Pork - best ever!,5,cornflour/cornstarch,5,tbsp,- for mixing in
Sweet and Sour Pork - best ever!,5,cornflour/cornstarch,1/2,cup,- for Coating
Sweet and Sour Pork - best ever!,5,vegetable or canola oil,2 - 3,cups,
Sweet and Sour Pork - best ever!,5,white sugar,1/3,cup,
Sweet and Sour Pork - best ever!,5,apple cider vinegar,1/3,cup,(or 1/4 cup normal white vinegar)
Sweet and Sour Pork - best ever!,5,pineapple juice,3,tbsp,"(from a 227g/8oz can pineapple pieces in juice, preferably no added sugar, Note 4)"
Sweet and Sour Pork - best ever!,5,ketchup,3,tbsp,(or Aussie tomato sauce)
Sweet and Sour Pork - best ever!,5,Worcestershire sauce,1/2,tsp,
Sweet and Sour Pork - best ever!,5,soy sauce,1,tbsp,light
Sweet and Sour Pork - best ever!,5,Oyster Sauce,1,tsp,(Note 5)
Sweet and Sour Pork - best ever!,5,cornflour/corn starch,4,tsp,
Sweet and Sour Pork - best ever!,5,water,1/2,cup,
Sweet and Sour Pork - best ever!,5,oil,1,tbsp,
Sweet and Sour Pork - best ever!,5,garlic clove,1,,finely chopped
Sweet and Sour Pork - best ever!,5,ginger,2,tsp,finely chopped
Sweet and Sour Pork - best ever!,5,onion,1,,"(medium), cut into 2.5cm/ 1"" cubes (brown, white, yellow)"
Sweet and Sour Pork - best ever!,5,red capsicum/bell pepper,1/2,,"(large), cut into 2.5cm / 1"" cubes"
Sweet and Sour Pork - best ever!,5,green capsicum/bell pepper,1/2,,"(large), cut into 2.5cm /  1"" cubes"
Sweet and Sour Pork - best ever!,5,pineapple pieces,1,cup,(from the can of pineapple under Sauce)
Chicken Broccoli Stir Fry (extra saucy!),5,cornflour/cornstarch,2,tbsp,
Chicken Broccoli Stir Fry (extra saucy!),5,soy sauce,3,tbsp,all purpose or light (Note 1)
Chicken Broccoli Stir Fry (extra saucy!),5,Chinese cooking wine or Mirin,1 1/2,tbsp,(Note 2)
Chicken Broccoli Stir Fry (extra saucy!),5,oyster sauce,3,tbsp,(Note 3)
Chicken Broccoli Stir Fry (extra saucy!),5,sesame oil,2,tsp,
Chicken Broccoli Stir Fry (extra saucy!),5,Dash of white pepper,,,(sub black)
Chicken Broccoli Stir Fry (extra saucy!),5,oil,2,tbsp,"peanut, vegetable or canola"
Chicken Broccoli Stir Fry (extra saucy!),5,onion,1/2,,sliced
Chicken Broccoli Stir Fry (extra saucy!),5,garlic cloves,2,,finely minced
Chicken Broccoli Stir Fry (extra saucy!),5,"chicken thighs or breast, thinly sliced",500g/1 lb,,"(optional tenderise, Note 4)"
Chicken Broccoli Stir Fry (extra saucy!),5,broccoli florets,400g/ 14 oz,,"broken/cut into small bite size pieces (2 medium heads, ~5 cups)"
Chicken Broccoli Stir Fry (extra saucy!),5,water,1 1/4,cups,
Chinese Noodle Soup,2,"chicken stock/broth, low sodium",3,cups,(Note 1)
Chinese Noodle Soup,2,garlic cloves,2,,smashed (Note 2)
Chinese Noodle Soup,2,"ginger piece, ","1.5 cm / 1/2""",,"cut into 3 slices (optional, but highly recommended)"
Chinese Noodle Soup,2,light soy sauce,1 1/2,tbsp,or normal all purpose soy sauce (Note 3)
Chinese Noodle Soup,2,sugar,2,tsp,(any)
Chinese Noodle Soup,2,chinese cooking wine,1 1/2,tbsp,(Note 4)
Chinese Noodle Soup,2,sesame oil,1/4 - 1/2,tsp,toasted (optional) (Note 5)
Chinese Noodle Soup,2,fresh egg noodles,180g / 6oz,,(Note 6)
Chinese Noodle Soup,2,large bok choy or other vegetables of choice,2,,(use any blanchable veg - Note 7)
Chinese Noodle Soup,2,shredded cooked chicken,1,cup,(or other protein of choice)
Chinese Noodle Soup,2,scallion / shallot,1,,green part only finely sliced (optional garnish)
Chop Suey (Chicken Stir Fry),2,chicken breast,180g (6oz ),,thinly sliced
Chop Suey (Chicken Stir Fry),2,baking soda / bi-carb,1/2,tsp,"(optional, Note 1)"
Chop Suey (Chicken Stir Fry),2,cornflour / corn starch,1,tbsp,
Chop Suey (Chicken Stir Fry),2,light soy sauce,1 1/2,tbsp,or all purpose soy(Note 3)
Chop Suey (Chicken Stir Fry),2,Oyster Sauce,1,tbsp,(Note 4)
Chop Suey (Chicken Stir Fry),2,Chinese Cooking Wine,1,tbsp,OR Mirin (Note 5)
Chop Suey (Chicken Stir Fry),2,sesame oil,1/2,tsp,(optional)
Chop Suey (Chicken Stir Fry),2,Dash of white pepper,,,(or black)
Chop Suey (Chicken Stir Fry),2,water,3/4 cup (185 ml),,
Chop Suey (Chicken Stir Fry),2,vegetable oil,1 1/2,tbsp,(or other cooking oil)
Chop Suey (Chicken Stir Fry),2,garlic cloves,2,,finely chopped
Chop Suey (Chicken Stir Fry),2,onion,1/2,,"sliced (white, brown, yellow)"
Chop Suey (Chicken Stir Fry),2,stems choy sum,5 - 6,,(or other Asian greens)
Chop Suey (Chicken Stir Fry),2,medium carrot,1,,
Chop Suey (Chicken Stir Fry),2,sliced mushrooms,1/2,cup,"(shiitake is authentic, but any will do)"
Chop Suey (Chicken Stir Fry),2,bean sprouts,1,cup,
Siu Mai (Shumai) - Chinese steamed dumplings,20,dried shiitake mushrooms,3,,"soaked in boiling water, finely chopped (Note 1)"
Siu Mai (Shumai) - Chinese steamed dumplings,20,pork mince (ground pork),350g/ 13oz ,,fatty (Note 2)
Siu Mai (Shumai) - Chinese steamed dumplings,20,salt,3/4,tsp,
Siu Mai (Shumai) - Chinese steamed dumplings,20,sugar,2.5,tsp,
Siu Mai (Shumai) - Chinese steamed dumplings,20,light soy sauce,1,tsp,(Note 4)
Siu Mai (Shumai) - Chinese steamed dumplings,20,Chinese cooking wine,1.5,tbsp,"(aka Shaoxing wine, sub Mirin or dry sherry) (Note 5)"
Siu Mai (Shumai) - Chinese steamed dumplings,20,prawns/shrimp,150g/5oz,,"peeled and deveined, chopped 0.5cm / 1/5"" (Note 3)"
Siu Mai (Shumai) - Chinese steamed dumplings,20,white part of green onions,2,tbsp,finely minced (Note 6)
Siu Mai (Shumai) - Chinese steamed dumplings,20,wonton wrappers / egg wrappers,20 - 25,,"8cm/3.5"" squares or rounds (Note 7)"
Siu Mai (Shumai) - Chinese steamed dumplings,20,flying fish roe,50g/1.5oz,,(Note 8 for alternatives)
Chinese Broccoli with Oyster Sauce (Gai Lan),2,bunch Chinese broccoli,1,,"(""Gai Lan"") (Note 1)"
Chinese Broccoli with Oyster Sauce (Gai Lan),2,corn flour / corn starch,3/4,tsp,
Chinese Broccoli with Oyster Sauce (Gai Lan),2,water,3,tbsp,
Chinese Broccoli with Oyster Sauce (Gai Lan),2,oyster sauce,2,tbsp,
Chinese Broccoli with Oyster Sauce (Gai Lan),2,soy sauce,2,tsp,light or all purpose (not dark soy)
Chinese Broccoli with Oyster Sauce (Gai Lan),2,Chinese cooking wine,1,tbsp,"(sub Mirin or Dry Sheer, Note 1)"
Chinese Broccoli with Oyster Sauce (Gai Lan),2,sesame oil,1/2,tsp,
Chinese Broccoli with Oyster Sauce (Gai Lan),2,vegetable oil,1/2,tbsp,(or canola or peanut)
Chinese Broccoli with Oyster Sauce (Gai Lan),2,sugar,1/2,tsp,
Chinese Broccoli with Oyster Sauce (Gai Lan),2,garlic,1,clove,finely grated
Chinese Broccoli with Oyster Sauce (Gai Lan),2,ginger,1,tsp,finely grated
Dan Dan Noodles (Spicy Sichuan noodles),4,Chinese sesame paste,2,tbsp,"(sub tahini, Note 1)"
Dan Dan Noodles (Spicy Sichuan noodles),4,Chinese chilli paste in oil,1.5,tbsp,adjust spiciness (Note 2)
Dan Dan Noodles (Spicy Sichuan noodles),4,light soy sauce,4,tbsp,(Note 3)
Dan Dan Noodles (Spicy Sichuan noodles),4,garlic cloves,2,,minced
Dan Dan Noodles (Spicy Sichuan noodles),4,white sugar,3,tsp,
Dan Dan Noodles (Spicy Sichuan noodles),4,Chinese five spice powder,1/2,tsp,(Note 4)
Dan Dan Noodles (Spicy Sichuan noodles),4,Sichuan pepper powder,1,tsp,preferably freshly ground (Note 5)
Dan Dan Noodles (Spicy Sichuan noodles),4,(or more!) chilli oil,3,tbsp,preferably Chinese (Note 6)
Dan Dan Noodles (Spicy Sichuan noodles),4,chicken broth/stock,3/4 cup (185ml),,"hot, low sodium"
Dan Dan Noodles (Spicy Sichuan noodles),4,Hoisin sauce,2,tsp,
Dan Dan Noodles (Spicy Sichuan noodles),4,dark soy sauce,1,tsp,(Note 7)
Dan Dan Noodles (Spicy Sichuan noodles),4,Chinese cooking wine,1,tbsp,(sub 2 tbsp extra chicken stock)
Dan Dan Noodles (Spicy Sichuan noodles),4,Chinese five spice powder,1/2,tsp,(Note 4)
Dan Dan Noodles (Spicy Sichuan noodles),4,vegetable oil,1,tbsp,
Dan Dan Noodles (Spicy Sichuan noodles),4,pork mince,250g/ 8oz ,,(ground pork)
Dan Dan Noodles (Spicy Sichuan noodles),4,vegetable oil,1,tsp,
Dan Dan Noodles (Spicy Sichuan noodles),4,Sui Mi Ya Cai (preserved mustard greens),30g (1/4 cup) ,,finely chopped (Note 8)
Dan Dan Noodles (Spicy Sichuan noodles),4,white fresh noodles,500g/1lb,,medium thickness (Note 9)
Dan Dan Noodles (Spicy Sichuan noodles),4,choy sum stems,16,,cut into 15cm pieces
Dan Dan Noodles (Spicy Sichuan noodles),4,green onions,2,,finely sliced
Dan Dan Noodles (Spicy Sichuan noodles),4,peanuts,1,tbsp,finely chopped (optional)
Vegetable Stir Fry,4,vegetable oil,1,tbsp,
Vegetable Stir Fry,4,garlic cloves,2,,finely chopped
Vegetable Stir Fry,4,ginger,1,tbsp,finely sliced (optional)
Vegetable Stir Fry,4,onion,1/2,,peeled and sliced
Vegetable Stir Fry,4,carrot,1,,large
Vegetable Stir Fry,4,medium buk choy,3,,or other leafy greens of choice (Note 1)
Vegetable Stir Fry,4,mushrooms,1,cup,"sliced 3mm / 1/8"" thick"
Vegetable Stir Fry,4,capsicum,1,,"sliced 1/2cm / 1/5"" thick"
Vegetable Stir Fry,4,cornflour / corn starch,1,tbsp,
Vegetable Stir Fry,4,soy sauce,1 1/2,tbsp,light or all purpose (not dark soy) (Note 2)
Vegetable Stir Fry,4,Oyster Sauce,2,tsp,
Vegetable Stir Fry,4,Chinese Cooking Wine or Mirin,1,tbsp,(Note 3)
Vegetable Stir Fry,4,sesame oil,1/2,tsp,(optional)
Vegetable Stir Fry,4,Dash of white pepper,,,(or black)
Vegetable Stir Fry,4,water,3/4 cup / 185 ml ,,
Vegetable Stir Fry,4,Finely sliced green onions,,,
Vegetable Stir Fry,4,Sesame seeds,,,
Smashed Cucumber Salad,4,cucumbers,500g/ 1 lb ,,"(4 medium or 2 long cucumbers, Note 1)"
Smashed Cucumber Salad,4,salt,3/4,tsp,
Smashed Cucumber Salad,4,coriander/cilantro,2,tbsp,roughly chopped
Smashed Cucumber Salad,4,green onions,1/4,cup,sliced
Smashed Cucumber Salad,4,rice vinegar,1.5,tbsp,
Smashed Cucumber Salad,4,sesame oil,2,tsp,toasted (Note 2)
Smashed Cucumber Salad,4,ginger,1.5,tsp,freshly grated
Smashed Cucumber Salad,4,soy sauce,2,tsp,
Smashed Cucumber Salad,4,sugar,1/2,tsp,
Lo Mein Noodles,3,vegetable or peanut oil,1.5,tbsp,
Lo Mein Noodles,3,garlic cloves,2,,finely minced (Note 1)
Lo Mein Noodles,3,onion,1/2,,finely sliced
Lo Mein Noodles,3,chicken or other protein,300g / 10oz,,"sliced 0.5cm / 1/5"" thick (Note 2)"
Lo Mein Noodles,3,medium carrots,2,,"peeled and cut into 4 x 0.75cm / 1.75 x 1/3"" batons"
Lo Mein Noodles,3,large red capsicum / bell pepper,1,,sliced (or 2 small)
Lo Mein Noodles,3,green onions,6,,cut into 5 cm/2” lengths
Lo Mein Noodles,3,"Lo Mein, Hokkien or other medium thickness egg noodles, fresh,",500g / 1lb,,prepared per packet (Note 3 for dried)
Lo Mein Noodles,3,water,1/4 cup (65ml),,
Lo Mein Noodles,3,cornflour / cornstarch,4,tsp,
Lo Mein Noodles,3,dark soy sauce,2,tbsp,(Note 4)
Lo Mein Noodles,3,soy sauce or light soy sauce,2,tbsp,(Note 4)
Lo Mein Noodles,3,Chinese cooking wine or Mirin,1,tbsp,(Note 5 subs)
Lo Mein Noodles,3,white sugar,1,tsp,(omit if using Mirin)
Lo Mein Noodles,3,sesame oil,1/2,tsp,"toasted, optional (Note 6)"
Lo Mein Noodles,3,white pepper,1/4,tsp,(sub black)
Lo Mein Noodles,3,Green onion,,,finely sliced
Beef Stir Fry with Honey Pepper Sauce,4,soy sauce,2 1/2,tbsp,(Note 1)
Beef Stir Fry with Honey Pepper Sauce,4,honey,3,tbsp,
Beef Stir Fry with Honey Pepper Sauce,4,Oyster sauce,1 1/2,tbsp,(sub Hoisin)
Beef Stir Fry with Honey Pepper Sauce,4,Chinese cooking wine,1 1/2,tbsp,Mirin or dry sherry (Note 2)
Beef Stir Fry with Honey Pepper Sauce,4,water,2,tbsp,
Beef Stir Fry with Honey Pepper Sauce,4,coarsely crushed black pepper,1,tsp,(or 1/2 tsp normal ground black pepper)
Beef Stir Fry with Honey Pepper Sauce,4,peanut oil,2,tbsp,(or vegetable or canola oil)
Beef Stir Fry with Honey Pepper Sauce,4,garlic clove,1,,finely minced
Beef Stir Fry with Honey Pepper Sauce,4,onion,1/2,,peeled and sliced
Beef Stir Fry with Honey Pepper Sauce,4,"thinly sliced tenderloin, flank, sirloin/Porterhouse/strip, ",500g/1 lb,,or any other cut of steak suitable for stir frying (Notes 3)
Chow Mein,2,chicken breast or thigh fillets,200g /6 oz,,thinly sliced (Note 1 tenderise option)
Chow Mein,2,green cabbage,4,cups,finely shredded (Note 3)
Chow Mein,2,peanut oil,1 1/2,tbsp,(or other cooking oil)
Chow Mein,2,garlic,2,cloves,finely chopped
Chow Mein,2,chow mein noodles ,200g /6 oz,,(Note 2)
Chow Mein,2,carrot,1,,julienned
Chow Mein,2,bean sprouts,1 1/2,cups,
Chow Mein,2,green onions,3,,"cut into 5cm/2"" pieces"
Chow Mein,2,water,1/4 cup (65 ml),,
Chow Mein,2,cornflour / cornstarch,2,tsp,
Chow Mein,2,soy sauce,1 1/2,tbsp,all purpose or light (Note 4)
Chow Mein,2,oyster sauce,1 1/2,tbsp,(sub Hoisin)
Chow Mein,2,Chinese cooking wine,1 1/2,tbsp,OR Mirin (Note 5)
Chow Mein,2,sugar,2,tsp,(reduce to 1 tsp if using Mirin)
Chow Mein,2,sesame oil,1/2,tsp,
Chow Mein,2,White pepper,,,(sub black)
Chicken Fried Rice,4,oil,2,tbsp,"peanut, vegetable or canola"
Chicken Fried Rice,4,eggs,2,,lightly whisked
Chicken Fried Rice,4,chicken breast,150g (5oz),,finely sliced into small pieces
Chicken Fried Rice,4,garlic cloves,2,,minced
Chicken Fried Rice,4,onion,1/2,,finely chopped
Chicken Fried Rice,4,bacon,120g (4oz),,"excess fat trimmed, chopped (Note 1)"
Chicken Fried Rice,4,small carrot*,1,,"peeled and diced 0.75cm / 1/3"""
Chicken Fried Rice,4,frozen corn*,1/2,cup,(or can or fresh)
Chicken Fried Rice,4,frozen peas*,1/2,cup,
Chicken Fried Rice,4,(packed) cooked white rice,2,cups,day old (Note 2)
Chicken Fried Rice,4,green onions,3/4,cup,finely sliced
